brinkey label	brinkey ppn	brinkey ppn hierarchy	hierarchy depth
Maharashtra	401161005	075631210,401161005	2
Kodaikanal	416406122	075631210,416406122	2
Krishna River	288429850	075631210,288429850	2
Lava	315887265	075631210,315887265	2
Aurangabad	331444739	075631210,331444739	2
Ellora	341415510	075631210,341415510	2
Andamanen	363581359	075631210,363581359	2
Ahmedabad	371531853	075631210,371531853	2
Jharkhand	409170933	075631210,409170933	2
Indonesië	075631245	075631245	1
Indonesië ; geschiedenis	075609983	075631245,075609983	2
Wereldoorlog II ; Nederlands Indië	075665336	075631245,075609983,075665336	3
Batavia	07563628X	075631245,075609983,07563628X	3
Indonesië ; reisgidsen	075609991	075631245,075609991	2
Indonesië ; sociografie	075610000	075631245,075610000	2
Nieuw-Guinea	075636441	075631245,075636441	2
Ambon	075668416	075631245,075668416	2
Java (eiland)	075668610	075631245,075668610	2
Indonesië ; economie	075687429	075631245,075687429	2
Djakarta	080705146	075631245,080705146	2
Celebes	085840211	075631245,085840211	2
Deli	093402538	075631245,093402538	2
Laboya	106801198	075631245,106801198	2
Yogyakarta	10972707X	075631245,10972707X	2
Palembang	124892086	075631245,124892086	2
Noord Tapanuli	114002266	075631245,114002266	2
Lombok (Indonesië)	114040478	075631245,114040478	2
Madura	12540011X	075631245,12540011X	2
Surabaya	13703489X	075631245,13703489X	2
Selayar	140745289	075631245,140745289	2
Tanimbar	142954829	075631245,142954829	2
Semarang	143442007	075631245,143442007	2
Bandoeng	151193029	075631245,151193029	2
Atjeh	151459223	075631245,151459223	2
Sumba	152158944	075631245,152158944	2
Malang	154067172	075631245,154067172	2
Flores	169156427	075631245,169156427	2
Medan	166020001	075631245,166020001	2
Banda-eilanden	173087264	075631245,173087264	2
Surakarta	184984653	075631245,184984653	2
Ujung Pandang	190094680	075631245,190094680	2
Bada (Indonesië)	192833863	075631245,192833863	2
Tongar	22243712X	075631245,22243712X	2
Molukken	07563872X	075631245,07563872X	2
Bali	075646005	075631245,075646005	2
Bawean	234606479	075631245,234606479	2
Bandjermasin	234805676	075631245,234805676	2
Saparoea	236704567	075631245,236704567	2
Onrust (eiland)	238514293	075631245,238514293	2
Pekalongan	238957101	075631245,238957101	2
Bantam	245914455	075631245,245914455	2
Makassar	272893943	075631245,272893943	2
Depok	304005665	075631245,304005665	2
Kalimantan	318138980	075631245,318138980	2
Belitung	335530893	075631245,335530893	2
Ternate	393435407	075631245,393435407	2
Palmas	39595696X	075631245,39595696X	2
Sumatra	075684608	075631245,075684608	2
Nusa Tenggara	094873917	075631245,094873917	2
Kalimantan Tengah	264427653	075631245,264427653	2
Nias	288236300	075631245,288236300	2
Sumbawa	288238974	075631245,288238974	2
Savu	288239083	075631245,288239083	2
Roti	288239113	075631245,288239113	2
Mentawai-eilanden	341758329	075631245,341758329	2
Sorong	352077123	075631245,352077123	2
Irak	075631288	075631288	1
Bagdad	163005710	075631288,163005710	2
Luristan	197089577	075631288,197089577	2
Sippar	203638298	075631288,203638298	2
Mesopotamië	075647605	075631288,075647605	2
Nineve	41334620X	075631288,41334620X	2
Iran	075631296	075631296	1
Urmiameer	245602887	075631296,245602887	2
Khuzestan	318738309	075631296,318738309	2
Ray	387266747	075631296,387266747	2
Kish	343317206	075631296,343317206	2
Suse	370174852	075631296,370174852	2
Isfahan	370833813	075631296,370833813	2
Israël	07563130X	07563130X	1
Israël ; geschiedenis	075610493	07563130X,075610493	2
Palestijnse kwestie	267293895	07563130X,075610493,267293895	3
Israël ; reisgidsen	075610507	07563130X,075610507	2
Israël ; sociografie	075610515	07563130X,075610515	2
Jeruzalem	075631350	07563130X,075631350	2
Tempelberg (Jeruzalem)	192922122	07563130X,075631350,192922122	3
Haifa	170622967	07563130X,170622967	2
Juda	187568057	07563130X,187568057	2
Nes Ammim	075636107	07563130X,075636107	2
Tel Aviv	375438289	07563130X,375438289	2
Meer van Tiberias	386088632	07563130X,386088632	2
Karmel	321337557	07563130X,321337557	2
El-Ahwat	338684476	07563130X,338684476	2
Galilea	405335849	07563130X,405335849	2
Kafr Qasim	408329262	07563130X,408329262	2
Japan	075631342	075631342	1
Japan ; reisgidsen	075689758	075631342,075689758	2
Hirosjima	135800080	075631342,135800080	2
Kyoto	183020731	075631342,183020731	2
Fuji (berg)	197620396	075631342,197620396	2
Nishina Three Lakes	227864972	075631342,227864972	2
Nagasaki	301800537	075631342,301800537	2
Japan ; geschiedenis	363562656	075631342,363562656	2
Tokyo	075678918	075631342,075678918	2
Tōhoku	396545459	075631342,396545459	2
Hokkaido	413979296	075631342,413979296	2
Biwameer	343399512	075631342,343399512	2
Okayama	343436582	075631342,343436582	2
Kyushu	357280660	075631342,357280660	2
Yamada	383364957	075631342,383364957	2
Shikoku	395484928	075631342,395484928	2
Fukushima	41696978X	075631342,41696978X	2
Joegoslavië	075631393	075631393	1
Joegoslavië ; reisgidsen	075686678	075631393,075686678	2
Joegoslavische burgeroorlog	408637374	075631393,408637374	2
Kanaaleilanden	075631571	075631571	1
Jersey	376143452	075631571,376143452	2
Guernsey	353715514	075631571,353715514	2
Kenia	075631644	075631644	1
Kisumu	13896078X	075631644,13896078X	2
Masai Mara	192207709	075631644,192207709	2
Kenia ; reisgidsen	216080045	075631644,216080045	2
Nakuru	229417922	075631644,229417922	2
Nairobi	229492401	075631644,229492401	2
Mathare (Nairobi)	404315623	075631644,229492401,404315623	3
Tsavo	242070604	075631644,242070604	2
Lake Naivasha	260342890	075631644,260342890	2
Baringo District	263272087	075631644,263272087	2
Garissa	331203677	075631644,331203677	2
Mount Kenya	406377057	075631644,406377057	2
Lake Jipe	330028553	075631644,330028553	2
Lamu	363058672	075631644,363058672	2
Tunesië	075633787	075633787	1
Tunis	075633795	075633787,075633795	2
Tunesië ; reisgidsen	075688158	075633787,075688158	2
Carthago	168473542	075633787,168473542	2
Djerba	24614128X	075633787,24614128X	2
Turkije	075633825	075633825	1
Turkije ; reisgidsen	07568666X	075633825,07568666X	2
Istanbul	075690144	075633825,075690144	2
Sagalassos	107388804	075633825,107388804	2
Anatolië	183180917	075633825,183180917	2
Tur-Abdin	189789727	075633825,189789727	2
Pontus	198024363	075633825,198024363	2
Zonguldak	217973140	075633825,217973140	2
Ani	238738450	075633825,238738450	2
Bodrum	244729042	075633825,244729042	2
Marmaris	244729050	075633825,244729050	2
Kültepe	250438259	075633825,250438259	2
Gaziantep (stad)	298332264	075633825,298332264	2
Konya	419542272	075633825,419542272	2
Troje	075684969	075633825,075684969	2
Ankara	419481222	075633825,419481222	2
Oost-Anatolië	082428689	075633825,082428689	2
Izmir	287772470	075633825,287772470	2
Diyarbakır (provincie)	344838986	075633825,344838986	2
Cappadocië	392659956	075633825,392659956	2
Boğazlıyan (district)	412768151	075633825,412768151	2
Senegal	075633841	075633841	1
Dakar	075682788	075633841,075682788	2
Casamance	18672988X	075633841,18672988X	2
Senegal ; reisgidsen	331135590	075633841,331135590	2
Ndiael	40974137X	075633841,40974137X	2
Sierra Leone	075633868	075633868	1
Sovjet-Unie	075633981	075633981	1
Sovjet-Unie ; geschiedenis	075622254	075633981,075622254	2
Sovjet-Unie ; reisgidsen	075622262	075633981,075622262	2
Sovjet-Unie ; sociografie	075622270	075633981,075622270	2
Leningrad	075640961	075633981,075640961	2
Moskou	07564097X	075633981,07564097X	2
Stalingrad	23611381X	075633981,23611381X	2
Tajmyr	238699862	075633981,238699862	2
Sovjet-Unie ; politiek	075685221	075633981,075685221	2
Spanje	075634023	075634023	1
Ibiza	075631091	075634023,075631091	2
Costa Blanca	075636387	075634023,075636387	2
Spanje ; reisgidsen	075686562	075634023,075686562	2
Madrid	075686805	075634023,075686805	2
Menorca	114310211	075634023,114310211	2
Fuerteventura	123927773	075634023,123927773	2
Costa de la Luz	102665338	075634023,102665338	2
Asturië	106962264	075634023,106962264	2
Galicië (Spanje)	106962329	075634023,106962329	2
Santiago de Compostela	107497689	075634023,107497689	2
Sevilla	10891075X	075634023,10891075X	2
La Palma	118790382	075634023,118790382	2
Gran Canaria	123952530	075634023,123952530	2
Playa del Inglès (Gran Canaria)	255957572	075634023,123952530,255957572	3
Las Palmas de Gran Canaria	255977468	075634023,123952530,255977468	3
Lanzarote	123952603	075634023,123952603	2
La Gomera	123953030	075634023,123953030	2
El Hierro	123953375	075634023,123953375	2
Albalate de Cinca	149239629	075634023,149239629	2
Córdoba	148651674	075634023,148651674	2
Extremadura	158942906	075634023,158942906	2
Spanje ; geschiedenis	181487306	075634023,181487306	2
Spaanse Burgeroorlog	075622289	075634023,181487306,075622289	3
Valencia	163487219	075634023,163487219	2
Costa del Azahar	216085497	075634023,216085497	2
Picos de Europa	222335661	075634023,222335661	2
Sierra Nevada	255297130	075634023,255297130	2
Morvedre	264189485	075634023,264189485	2
Sierra de Guara	274419947	075634023,274419947	2
Sóller	251852423	075634023,251852423	2
Porte Sóller	251852482	075634023,251852482	2
Valldemossa	251852881	075634023,251852881	2
Castilië	271445815	075634023,271445815	2
La Mancha	297983849	075634023,297983849	2
Noord-Spanje	308325281	075634023,308325281	2
Bilbao	304241040	075634023,304241040	2
Maspalomas	313068054	075634023,313068054	2
Cantabrisch Gebergte	313929831	075634023,313929831	2
Besalú	328286850	075634023,328286850	2
Aragón	333037456	075634023,333037456	2
Calahorra	337237557	075634023,337237557	2
Noordwest-Spanje	393986101	075634023,393986101	2
Cuevas del Almanzora	395427363	075634023,395427363	2
Montserrat	401337081	075634023,401337081	2
Granja de Rocamora	408130849	075634023,408130849	2
Andalusië	075674246	075634023,075674246	2
Costa del Sol	075674254	075634023,075674254	2
Balearen	075674289	075634023,075674289	2
Catalonië	075674297	075634023,075674297	2
Costa Brava	075674300	075634023,075674300	2
Blanca	393520196	075634023,393520196	2
Ricote Vallei	395348897	075634023,395348897	2
Toledo	420683593	075634023,420683593	2
Barcelona	075685469	075634023,075685469	2
Ceuta	410713066	075634023,410713066	2
Nájera	411984586	075634023,411984586	2
Granada	416605389	075634023,416605389	2
Canarische Eilanden	078797667	075634023,078797667	2
Tenerife	086058274	075634023,086058274	2
Formentera	086058355	075634023,086058355	2
Mallorca	086058401	075634023,086058401	2
Costa Dorada	095797440	075634023,095797440	2
Roncesvalles	344382648	075634023,344382648	2
San Sebastián	358190541	075634023,358190541	2
Málaga	375518142	075634023,375518142	2
Sorio	37679383X	075634023,37679383X	2
Murcia	407450866	075634023,407450866	2
Peñíscola	408478667	075634023,408478667	2
Ebro	409123420	075634023,409123420	2
Benidorm	409261394	075634023,409261394	2
Verenigd Koninkrijk	075634031	075634031	1
Groot-Brittannië	075631008	075634031,075631008	2
Schotland	07563371X	075634031,075631008,07563371X	3
Wales	075636379	075634031,075631008,075636379	3
Saint Ives	075639041	075634031,075631008,075639041	3
Norwich	075639246	075634031,075631008,075639246	3
Penzance	075639491	075634031,075631008,075639491	3
Maesteg	075639505	075634031,075631008,075639505	3
Walsall	075639513	075634031,075631008,075639513	3
Blaenavon	075639521	075634031,075631008,075639521	3
Barrow-in-Furness	07563953X	075634031,075631008,07563953X	3
Banbury	075639548	075634031,075631008,075639548	3
Freckleton	075639610	075634031,075631008,075639610	3
Sidmouth	075639629	075634031,075631008,075639629	3
Hythe	075639637	075634031,075631008,075639637	3
Oldham	075639645	075634031,075631008,075639645	3
Bideford	07563967X	075634031,075631008,07563967X	3
Tewkesbury	075639807	075634031,075631008,075639807	3
Bishop's Stortford	075639815	075634031,075631008,075639815	3
Fleetwood	075639823	075634031,075631008,075639823	3
Honiton	075641828	075634031,075631008,075641828	3
Ashington	075641836	075634031,075631008,075641836	3
Freshwater	075641844	075634031,075631008,075641844	3
Portland (UK)	075641852	075634031,075631008,075641852	3
Londen	075642107	075634031,075631008,075642107	3
Bickley	075690268	075634031,075631008,075642107,075690268	4
Widmore	075690276	075634031,075631008,075642107,075690276	4
Plaistow	075690284	075634031,075631008,075642107,075690284	4
Newham	075690292	075634031,075631008,075642107,075690292	4
Hammersmith	095646523	075634031,075631008,075642107,095646523	4
Kensington	100961843	075634031,075631008,075642107,100961843	4
Chelsea	100961886	075634031,075631008,075642107,100961886	4
Notting Hill (Londen)	120944278	075634031,075631008,075642107,120944278	4
Paddington (Londen)	120944766	075634031,075631008,075642107,120944766	4
Barking (Londen)	120945061	075634031,075631008,075642107,120945061	4
Dagenham (Londen)	12094510X	075634031,075631008,075642107,12094510X	4
West Kensington (Londen)	139486860	075634031,075631008,075642107,139486860	4
Shepherd's Bush (Londen)	139486925	075634031,075631008,075642107,139486925	4
Streatham (Londen)	173851592	075634031,075631008,075642107,173851592	4
Wembley	080724361	075634031,075631008,075642107,080724361	4
Lancaster	075642255	075634031,075631008,075642255	3
Marske	075642263	075634031,075631008,075642263	3
Thirsk	075642271	075634031,075631008,075642271	3
Royston	07564228X	075634031,075631008,07564228X	3
Totton	075642298	075634031,075631008,075642298	3
Bearsden	075642352	075634031,075631008,075642352	3
Crowthorne	075642360	075634031,075631008,075642360	3
Elland	075642379	075634031,075631008,075642379	3
Dalton in Furness	075642387	075634031,075631008,075642387	3
Rothwell	075642395	075634031,075631008,075642395	3
Thatcham	075642409	075634031,075631008,075642409	3
Wantage	075642417	075634031,075631008,075642417	3
Milford Haven	075646579	075634031,075631008,075646579	3
Helmsley	075646587	075634031,075631008,075646587	3
Buxton	075646595	075634031,075631008,075646595	3
Penryn	075646749	075634031,075631008,075646749	3
Amersham	075646757	075634031,075631008,075646757	3
Clacton-on-Sea	075646765	075634031,075631008,075646765	3
Stafford	075646927	075634031,075631008,075646927	3
Hailsham	075646935	075634031,075631008,075646935	3
Middlesbrough	075647001	075634031,075631008,075647001	3
Kilmarnock	07564701X	075634031,075631008,07564701X	3
Torquay	075639912	075634031,075631008,075639912	3
Falmouth	075639920	075634031,075631008,075639920	3
Luton	075639939	075634031,075631008,075639939	3
Blairgowrie	075639947	075634031,075631008,075639947	3
Rattray	075639955	075634031,075631008,075639955	3
Frodsham	075640309	075634031,075631008,075640309	3
Wellingborough	075640406	075634031,075631008,075640406	3
Blyth	075640562	075634031,075631008,075640562	3
Burnley	075640694	075634031,075631008,075640694	3
Saint Neots	075640880	075634031,075631008,075640880	3
Lytham-St. Annes	075640899	075634031,075631008,075640899	3
Ely	075640902	075634031,075631008,075640902	3
Pickering	075640910	075634031,075631008,075640910	3
Harrogate	075642719	075634031,075631008,075642719	3
Colne	075642735	075634031,075631008,075642735	3
Frome	075642743	075634031,075631008,075642743	3
Hedge End	075642751	075634031,075631008,075642751	3
Botley	07564276X	075634031,075631008,07564276X	3
Viewpark	075642778	075634031,075631008,075642778	3
Bradford-on-Avon	075642786	075634031,075631008,075642786	3
Devizes	075642794	075634031,075631008,075642794	3
Ludlow	075643340	075634031,075631008,075643340	3
Stratford-upon-Avon	075643359	075634031,075631008,075643359	3
Spennymoor	075643367	075634031,075631008,075643367	3
Exeter	075643375	075634031,075631008,075643375	3
Stourport-on-Severn	075643480	075634031,075631008,075643480	3
Irvine	075643499	075634031,075631008,075643499	3
York	075643510	075634031,075631008,075643510	3
Saint Andrew's Major	075644665	075634031,075631008,075644665	3
Paisley	075644681	075634031,075631008,075644681	3
Thame	075644827	075634031,075631008,075644827	3
Newhaven	075644843	075634031,075631008,075644843	3
Salisbury	075644940	075634031,075631008,075644940	3
Malton	075644959	075634031,075631008,075644959	3
Norton	075644967	075634031,075631008,075644967	3
Old Malton	075644975	075634031,075631008,075644975	3
Breaston	075644983	075634031,075631008,075644983	3
Kilsyth	075645068	075634031,075631008,075645068	3
Robin Hood's Bay	075645076	075634031,075631008,075645076	3
Blackpool	075645084	075634031,075631008,075645084	3
King's Lynn	075645092	075634031,075631008,075645092	3
Bristol	075645106	075634031,075631008,075645106	3
Haddington	075645114	075634031,075631008,075645114	3
Malverns	075645122	075634031,075631008,075645122	3
Warwick	075645130	075634031,075631008,075645130	3
Elgin	075645289	075634031,075631008,075645289	3
Chippenham	075645297	075634031,075631008,075645297	3
Cheltenham	075645300	075634031,075631008,075645300	3
Henley-on-Thames	075645319	075634031,075631008,075645319	3
Walton-on-the-Naze	075645351	075634031,075631008,075645351	3
Cumnock	07564536X	075634031,075631008,07564536X	3
New Cumnock	075645378	075634031,075631008,075645378	3
Royal Tunbridge Wells	075645386	075634031,075631008,075645386	3
Hereford	075645394	075634031,075631008,075645394	3
Louth	075645408	075634031,075631008,075645408	3
Keynsham	075645416	075634031,075631008,075645416	3
High Wycombe	075645505	075634031,075631008,075645505	3
Thurrock	075647338	075634031,075631008,075647338	3
Stroud	075647346	075634031,075631008,075647346	3
Morley	075647370	075634031,075631008,075647370	3
Sutton-in-Ashfield	075650479	075634031,075631008,075650479	3
Witham	075650487	075634031,075631008,075650487	3
Cambridge	075650495	075634031,075631008,075650495	3
Seaford	075650509	075634031,075631008,075650509	3
Wellington	075650517	075634031,075631008,075650517	3
Bingley	075650525	075634031,075631008,075650525	3
Consett	075650533	075634031,075631008,075650533	3
Glasgow	075650576	075634031,075631008,075650576	3
Linlithgow	075650622	075634031,075631008,075650622	3
Pembroke	075650665	075634031,075631008,075650665	3
Kirkintilloch	075651599	075634031,075631008,075651599	3
Newbiggin-by-the-Sea	075651939	075634031,075631008,075651939	3
Ramsgate	075651947	075634031,075631008,075651947	3
Plymouth	075651955	075634031,075631008,075651955	3
Ockbrook	075651963	075634031,075631008,075651963	3
Newtown	075655519	075634031,075631008,075655519	3
Withernsea	075655551	075634031,075631008,075655551	3
Dudley	07565556X	075634031,075631008,07565556X	3
Havant	075655845	075634031,075631008,075655845	3
Sunderland	075655853	075634031,075631008,075655853	3
Helensburgh	075655861	075634031,075631008,075655861	3
Hertford	07565587X	075634031,075631008,07565587X	3
Poulton-le-Fylde	075655888	075634031,075631008,075655888	3
Harrow	075655896	075634031,075631008,075655896	3
North Berwick	075656035	075634031,075631008,075656035	3
Tenby	075656043	075634031,075631008,075656043	3
Driffield	075656051	075634031,075631008,075656051	3
Chesham	07565606X	075634031,075631008,07565606X	3
Evesham	075658496	075634031,075631008,075658496	3
Maldon	07565850X	075634031,075631008,07565850X	3
Billericay	075658518	075634031,075631008,075658518	3
Heybridge	075658526	075634031,075631008,075658526	3
Kinross	075658712	075634031,075631008,075658712	3
Hartlepool	075658720	075634031,075631008,075658720	3
Penarth	075658739	075634031,075631008,075658739	3
Shrewsbury	07564925X	075634031,075631008,07564925X	3
Blackburn	075649268	075634031,075631008,075649268	3
Newton Abbot	075649276	075634031,075631008,075649276	3
Cambuslang	075649284	075634031,075631008,075649284	3
Wendover	075649519	075634031,075631008,075649519	3
Glastonbury	075649527	075634031,075631008,075649527	3
Bo'ness	075649535	075634031,075631008,075649535	3
Uddingston	075649829	075634031,075631008,075649829	3
Hoo St. Werburgh	075649837	075634031,075631008,075649837	3
Kingsteignton	075649845	075634031,075631008,075649845	3
Cuckfield	075650126	075634031,075631008,075650126	3
Thornton Cleveleys	075650134	075634031,075631008,075650134	3
Leeds and Liverpool Canal	075650142	075634031,075631008,075650142	3
Betley	075650169	075634031,075631008,075650169	3
Pudsey	075653494	075634031,075631008,075653494	3
Normanton	075653508	075634031,075631008,075653508	3
Bishop's Waltham	075653516	075634031,075631008,075653516	3
Thames	075653524	075634031,075631008,075653524	3
Southsea	075653648	075634031,075631008,075653648	3
Bude	075653656	075634031,075631008,075653656	3
Clydebank	075653664	075634031,075631008,075653664	3
Stratton	075653710	075634031,075631008,075653710	3
Burnham-on-Crouch	075653737	075634031,075631008,075653737	3
Swansea	075653745	075634031,075631008,075653745	3
Ashbourne	07565430X	075634031,075631008,07565430X	3
Saltburn-by-the-Sea	075654318	075634031,075631008,075654318	3
Portsmouth	075654326	075634031,075631008,075654326	3
Hilsea	07567288X	075634031,075631008,075654326,07567288X	4
Aylesbury	075654334	075634031,075631008,075654334	3
Cheadle	075654342	075634031,075631008,075654342	3
Houghton	075654350	075634031,075631008,075654350	3
Bathgate	07565458X	075634031,075631008,07565458X	3
Blaenau Ffestiniog	075654598	075634031,075631008,075654598	3
Ryhope	075654601	075634031,075631008,075654601	3
Bury	07565461X	075634031,075631008,07565461X	3
Minehead	075654660	075634031,075631008,075654660	3
Gosport	07566609X	075634031,075631008,07566609X	3
Fareham	07566657X	075634031,075631008,07566657X	3
Lymington	075666588	075634031,075631008,075666588	3
Cardiff	075666596	075634031,075631008,075666596	3
Bishop Auckland	075666650	075634031,075631008,075666650	3
Barrhead	075666669	075634031,075631008,075666669	3
Neilston	075666677	075634031,075631008,075666677	3
Durham	075666685	075634031,075631008,075666685	3
Newmarket	075666693	075634031,075631008,075666693	3
Soham	075666707	075634031,075631008,075666707	3
Coulsdon	075666715	075634031,075631008,075666715	3
New Milton	075666723	075634031,075631008,075666723	3
Rottingdean	075666731	075634031,075631008,075666731	3
Ripon	075666766	075634031,075631008,075666766	3
Portobello	075666774	075634031,075631008,075666774	3
Bromley	075666782	075634031,075631008,075666782	3
Winsford	075670577	075634031,075631008,075670577	3
Ipswich	075670593	075634031,075631008,075670593	3
Barton-upon-Humber	075670607	075634031,075631008,075670607	3
Dunmow	075670615	075634031,075631008,075670615	3
Carluke	075672448	075634031,075631008,075672448	3
Cosham	075672863	075634031,075631008,075672863	3
Widley	075672871	075634031,075631008,075672871	3
Littleport	075673061	075634031,075631008,075673061	3
Cupar	07567307X	075634031,075631008,07567307X	3
Canvey Island	075673088	075634031,075631008,075673088	3
Canterbury	075673096	075634031,075631008,075673096	3
Accrington	075673304	075634031,075631008,075673304	3
Margate	075673312	075634031,075631008,075673312	3
Oxted	075673622	075634031,075631008,075673622	3
Devonport	075673649	075634031,075631008,075673649	3
Livingston	075673657	075634031,075631008,075673657	3
Halstead	075677024	075634031,075631008,075677024	3
East Lothian	075677032	075634031,075631008,075677032	3
Musselburgh	075677040	075634031,075631008,075677040	3
Newcastle upon Tyne	075677059	075634031,075631008,075677059	3
Abingdon	075677067	075634031,075631008,075677067	3
Largs	075677423	075634031,075631008,075677423	3
Keighley	075677431	075634031,075631008,075677431	3
Ashford	075677466	075634031,075631008,075677466	3
Bridlington	075677660	075634031,075631008,075677660	3
Pembroke Dock	075677679	075634031,075631008,075677679	3
Loch Lomond	075677717	075634031,075631008,075677717	3
Spen Valley	075681781	075634031,075631008,075681781	3
Stanley	07568179X	075634031,075631008,07568179X	3
Ryton	075681803	075634031,075631008,075681803	3
Leatherhead	075681811	075634031,075631008,075681811	3
Burgess Hill	07568182X	075634031,075631008,07568182X	3
Bodmin	075681838	075634031,075631008,075681838	3
Beaconsfield	075681846	075634031,075631008,075681846	3
Strathaven	075681978	075634031,075631008,075681978	3
Kimberley	075682273	075634031,075631008,075682273	3
Carlisle	075682281	075634031,075631008,075682281	3
Penge	075685884	075634031,075631008,075685884	3
Dover	075685892	075634031,075631008,075685892	3
Annfield Plain	075686538	075634031,075631008,075686538	3
Groot-Brittannië ; reisgidsen	075686600	075634031,075631008,075686600	3
Horsham	075686694	075634031,075631008,075686694	3
Firth of Forth	075686856	075634031,075631008,075686856	3
Romsey	075686864	075634031,075631008,075686864	3
Teesside	075686996	075634031,075631008,075686996	3
Old Cleveland	075687003	075634031,075631008,075687003	3
Cefn-Mawr	075687011	075634031,075631008,075687011	3
Kilbarchan	07568702X	075634031,075631008,07568702X	3
Chesterfield	075687216	075634031,075631008,075687216	3
Chislehurst	075687224	075634031,075631008,075687224	3
Bournemouth	075689596	075634031,075631008,075689596	3
Whaley Bridge	075689812	075634031,075631008,075689812	3
Eastleigh	075667258	075634031,075631008,075667258	3
Bishopstoke	075667266	075634031,075631008,075667266	3
Chandler's Ford	075667274	075634031,075631008,075667274	3
Grangemouth	075667282	075634031,075631008,075667282	3
Caterham	075667290	075634031,075631008,075667290	3
Trumpington	075667347	075634031,075631008,075667347	3
Llantwit Major	075667355	075634031,075631008,075667355	3
Cottingham	075667401	075634031,075631008,075667401	3
Cotswolds	075667428	075634031,075631008,075667428	3
Bath	075667681	075634031,075631008,075667681	3
Blidworth	075668432	075634031,075631008,075668432	3
Shanklin	075668440	075634031,075631008,075668440	3
Northampton	075671050	075634031,075631008,075671050	3
Whitstable	075671689	075634031,075631008,075671689	3
Kirkby-in-Ashfield	075676338	075634031,075631008,075676338	3
Northfleet	075676346	075634031,075631008,075676346	3
Bishopton	075676354	075634031,075631008,075676354	3
Langbank	075676362	075634031,075631008,075676362	3
Stoke-on-Trent	075676389	075634031,075631008,075676389	3
Chester-le-Street	075676397	075634031,075631008,075676397	3
Hitchin	075676400	075634031,075631008,075676400	3
Brighouse	075676419	075634031,075631008,075676419	3
Manchester	075676427	075634031,075631008,075676427	3
Rhyl	075676435	075634031,075631008,075676435	3
Peacehaven	075676443	075634031,075631008,075676443	3
Herne Bay	075676621	075634031,075631008,075676621	3
Kilmacolm	07567663X	075634031,075631008,07567663X	3
Workington	075676648	075634031,075631008,075676648	3
Portishead	075676656	075634031,075631008,075676656	3
Barwell	075676664	075634031,075631008,075676664	3
Leamington Spa	075676672	075634031,075631008,075676672	3
Earl Shilton	075676680	075634031,075631008,075676680	3
Royal Leamington Spa	075676753	075634031,075631008,075676753	3
Bridge of Weir	075676761	075634031,075631008,075676761	3
Cheadle and Gatley	075683210	075634031,075631008,075683210	3
Ruislip	075690217	075634031,075631008,075690217	3
Ickenham	075690225	075634031,075631008,075690225	3
Uxbridge	075690233	075634031,075631008,075690233	3
March	075683687	075634031,075631008,075683687	3
Hayes	075683695	075634031,075631008,075683695	3
West Wickham	075683709	075634031,075631008,075683709	3
Keston	075683717	075634031,075631008,075683717	3
Rochester	07568389X	075634031,075631008,07568389X	3
Troon	075690462	075634031,075631008,075690462	3
Whickham	075690470	075634031,075631008,075690470	3
Askern	07568408X	075634031,075631008,07568408X	3
Lewes	075684098	075634031,075631008,075684098	3
Swindon	07568781X	075634031,075631008,07568781X	3
Lingfield	075687828	075634031,075631008,075687828	3
Wolverhampton	075687836	075634031,075631008,075687836	3
Writtle	075690756	075634031,075631008,075690756	3
Ruabon	075690764	075634031,075631008,075690764	3
Downe	075690845	075634031,075631008,075690845	3
Eyemouth	083201645	075634031,075631008,083201645	3
Bembridge	084741201	075634031,075631008,084741201	3
Frimley	086578154	075634031,075631008,086578154	3
Frimley Green	086578340	075634031,075631008,086578340	3
Rowlands Gill	087809648	075634031,075631008,087809648	3
Basingstoke	088984796	075634031,075631008,088984796	3
Chopwell	082719454	075634031,075631008,082719454	3
Shortlands	091411491	075634031,075631008,091411491	3
Johnstone	094677298	075634031,075631008,094677298	3
Crowborough	095088067	075634031,075631008,095088067	3
Chiswick	09564654X	075634031,075631008,09564654X	3
South Craven	095646701	075634031,075631008,095646701	3
Sandhurst	095751203	075634031,075631008,095751203	3
Chichester	096559519	075634031,075631008,096559519	3
Netley Abbey	096560339	075634031,075631008,096560339	3
Whitburn	097401854	075634031,075631008,097401854	3
Roker	097401889	075634031,075631008,097401889	3
Ormskirk	097403148	075634031,075631008,097403148	3
Mansfield	097404330	075634031,075631008,097404330	3
Guisborough	097408867	075634031,075631008,097408867	3
Worcester	097408948	075634031,075631008,097408948	3
Yeovil	09740909X	075634031,075631008,09740909X	3
Limpsfield	100680305	075634031,075631008,100680305	3
Hampshire	100960766	075634031,075631008,100960766	3
Alfriston	100961002	075634031,075631008,100961002	3
Peterhead	100962122	075634031,075631008,100962122	3
Great Shelford	100963226	075634031,075631008,100963226	3
Little Shelford	100963269	075634031,075631008,100963269	3
Swanage	101184271	075634031,075631008,101184271	3
Stretford	101184492	075634031,075631008,101184492	3
Rawtenstall	10471252X	075634031,075631008,10471252X	3
Monklands	106896962	075634031,075631008,106896962	3
Newburn	106898426	075634031,075631008,106898426	3
Bognor Regis	107556685	075634031,075631008,107556685	3
Littlehampton	107558718	075634031,075631008,107558718	3
Inverkeithing	109954742	075634031,075631008,109954742	3
Aldeburgh	109955595	075634031,075631008,109955595	3
