itemNumber	string	score
561	metalen	11
562	nederlandse letterkunde	11
563	cognitieve processen	11
564	genetische variatie	11
565	elektronentoestanden	11
566	polymerisatie	11
567	1500-1600	11
568	bloedvorming	11
569	44.91	11
570	halfgeleiders	11
571	europa (geografie)	11
572	geowetenschappen en aanverwante (milieu)wetenschappen	11
573	biologie/milieukunde (biol)	11
574	glaucoma	10
575	selection	10
576	coordination	10
577	complications	10
578	cystic fibrosis	10
579	biomarker	10
580	sexuality	10
581	methodology	10
582	dna damage	10
583	heterogeneity	10
584	technology	10
585	endothelial cells	10
586	epilepsy	10
587	viruses	10
588	melanoma	10
589	intellectual disability	10
590	molecular biology	10
591	frankrijk	10
592	ethnicity	10
593	age	10
594	emotional problems	10
595	schizophrenia	10
596	ischemia	10
597	chemokines	10
598	efficiency	10
599	life expectancy	10
600	mental health	10
601	strafrecht	10
602	belastingrecht	10
603	exploration	10
604	coronary artery disease	10
605	embryonic development	10
606	coronary heart diseases	10
607	perfusion	10
608	copd	10
609	testosterone	10
610	diversity	10
611	proefschriften	10
612	genotype	10
613	bone marrow	10
614	psychological aspects	10
615	allergy	10
616	hemodynamics	10
617	psychologische aspecten	10
618	immunity	10
619	transport	10
620	ecologische aspecten	10
621	vaccinatie	10
622	fmri	10
623	behavior	10
624	rna	10
625	voortgezet onderwijs	10
626	receptor	10
627	geneesmiddelenresistentie	10
628	sociale netwerken	10
629	verenigd koninkrijk van groot-brittannië en noord-ierland	10
630	biochemische methoden	10
631	visuele waarneming	10
632	amputatie	10
633	elektronspin	10
634	fullerenen	10
635	computerarchitectuur	10
636	self-assemblies	10
637	aggregatie	10
638	geconjugeerde systemen	10
639	kooldioxide	10
640	roken	10
641	immuunsysteem	10
642	noordzee	10
643	programmatuurontwikkeling	10
644	44.88	10
645	simulatiemodellen	10
646	meta-analyse	10
647	populatiedynamica	10
648	enantiomeren	10
649	trombose	10
650	vegetatie	10
651	schiermonnikoog	10
652	elektronenstructuur	10
653	sekseverschillen	10
654	moderne optica	10
655	zenuwstelselaandoeningen	10
656	sterfte	10
657	dynamische systemen	10
658	macro-economie	10
659	remote sensing	10
660	italy	10
661	geochemistry	10
662	norway	10
663	t-lymphocytes	9
664	determinants	9
665	placenta	9
666	neuroimaging	9
667	molecular genetics	9
668	groepsdynamica	9
669	control	9
670	tuberculosis	9
671	trauma	9
672	prevalence	9
673	mutation	9
674	fractures	9
675	adults	9
676	gene therapy	9
677	tumor	9
678	photodynamic therapy	9
679	reliability	9
680	oxidative stress	9
681	in vivo	9
682	myeloid leukemia	9
683	globalisation	9
684	emotion	9
685	infertility	9
686	cell cycle	9
687	pancreas	9
688	steroids	9
689	multiple sclerose	9
690	lung	9
691	overheidsbeleid	9
692	echografie	9
693	foetussen	9
694	retina	9
695	organisatiesociologie	9
696	samenwerking	9
697	revalidatie	9
698	voeding	9
699	blood pressure	9
700	maatschappelijke gezondheidszorg: algemeen	9
701	revascularization	9
702	immunohistochemistry	9
703	leren	9
704	risicoanalyse	9
705	prognose (geneeskunde)	9
706	fylogenese	9
707	arbeidseconomie	9
708	protestantisme	9
709	poreuze media	9
710	oceanografie	9
711	palladium	9
712	farmacie	9
713	antarctische oceaan	9
714	structuur	9
715	erfelijke ziekten	9
716	inhibitie	9
717	junctie	9
718	wiskundige modellen	9
719	35.75	9
720	koperverbindingen	9
721	tandheelkundige implantaten	9
722	geldigheid	9
723	genomica	9
724	medische economie	9
725	field effect transistoren	9
726	zelforganiserende systemen	9
727	cohortanalyse	9
728	proteïnurie	9
729	grafeen	9
730	anesthesiologie (geneeskunde)	9
731	moleculaire $schakelaars	9
732	1945-1950	9
733	ionenbundels	9
734	patroonherkenning, beeldverwerking	9
735	33.68	9
736	complicaties	9
737	toepassingen van de wiskunde	9
738	cybernetica en systeemtheorie	9
739	gedrag	9
740	1300-1500	9
741	kwantumchemie, chemische binding	9
742	koolhydraten (organische chemie)	9
743	transcriptie (biochemie)	9
744	t-lymfocyten	9
745	baarmoederhalskanker	9
746	merkstoffen (geneeskunde)	9
747	godsdienstfilosofie	9
748	gerontologie, geriatrie	9
749	serotonine	9
750	sensoren	9
751	hersenfuncties	9
752	psychodiagnostiek	9
753	darmkanker	9
754	polythiofenen	9
755	maps	9
756	temperature	8
757	rct	8
758	ischemic stroke	8
759	decision support systems	8
760	sarcoidosis	8
761	hepatitis c	8
762	resistance	8
763	emotions	8
764	systematic review	8
765	drug resistance	8
766	adolescence	8
767	politics	8
768	expression	8
769	hyperthermia	8
770	structure	8
771	discourse analysis	8
772	game theory	8
773	industry	8
774	exploitation	8
775	ubiquitin	8
776	implementation	8
777	gastric cancer	8
778	lifestyle	8
779	ethiopia	8
780	flow cytometry	8
781	quality of care	8
782	interaction	8
783	healthcare	8
784	transmission	8
785	labeling	8
786	diffusion	8
787	longitudinal	8
788	fibrinolysis	8
789	supply chain management	8
790	information technology	8
791	classification	8
792	klinische genetica	8
793	thyroid hormone	8
794	psychiatric disorders	8
795	identity	8
796	tomography	8
797	regeneration	8
798	effectiveness	8
799	institutions	8
800	dna microarrays	8
801	drug use	8
802	estrogen	8
803	intravascular ultrasound	8
804	sleep	8
805	microbiology	8
806	lipoproteins	8
807	risk management	8
808	policy	8
809	aids	8
810	differentiation	8
811	spermatogenesis	8
812	plastic surgery	8
813	skin	8
814	phosphorylation	8
815	language	8
816	platelets	8
817	europees recht	8
818	prematuren	8
819	genetic variation	8
820	adhesion	8
821	fracturen	8
822	nieren	8
823	fatty acids	8
824	mitochondria	8
825	patients	8
826	organisatiepsychologie	8
827	onderzoek en ontwikkeling (bedrijfskunde)	8
828	iron	8
829	agriculture	8
830	studieresultaten	8
831	spectroscopy	8
832	leukemie	8
833	ct	8
834	antibody	8
835	psychosociale aspecten	8
836	eclampsie	8
837	chronische pijn	8
838	family	8
839	paclitaxel	8
840	t cell	8
841	evaluation	8
842	arbeidsrecht	8
843	immuunreacties	8
844	effectiviteit	8
845	aggression	8
846	ziekteverzuim	8
847	model	8
848	snp	8
849	confocal microscopy	8
850	verstrooiing	8
851	galzouten	8
852	epitheel	8
853	lipiden	8
854	ecosystemen	8
855	eigenschappen van specifieke deeltjes, resonanties	8
856	snaartheorie	8
857	kwaliteit	8
858	1700-1800	8
859	1600-1700	8
860	translocatie	8
861	determinanten	8
862	benen (ledematen)	8
863	44.38 farmacologie (geneeskunde)	8
864	83.03	8
865	ecologie: algemeen	8
866	computersimulaties	8
867	4.210 nederland	8
868	stoftransport	8
869	ppv	8
870	vietnam	8
871	additiereacties	8
872	peroxysomen	8
873	hansenula polymorpha	8
874	foerageren	8
875	besluitvorming	8
876	milieubeleid	8
877	biodiversiteit	8
878	dierengenetica	8
879	1890-1900	8
880	1800-1850	8
881	specifieke kernreacties en kernverstrooiing	8
882	niet-lineaire optica	8
883	strafrecht: algemeen	8
884	consumentengedrag	8
885	1950-1960	8
886	fibrilleren	8
887	arbeidsgeneeskunde	8
888	vetzuren	8
889	44.62	8
890	plantengenetica	8
891	psychische stoornissen	8
892	endotheel	8
893	19xx	8
894	schorren	8
895	biofysica	8
896	drug $targeting	8
897	computernetwerken	8
898	2000-2010	8
899	zetmeel	8
900	aminozuren	8
901	immunotherapie	8
902	radioactiviteit, elektromagnetische overgangen	8
903	taalverwerving	8
904	systematische theologie	8
905	klimaatveranderingen	8
906	bedrijfsgeneeskunde	8
907	1800-2000	8
908	groningen (provincie)	8
909	indonesië	8
910	urbane planning	8
911	ontwikkelingspsychologie	8
912	voeding (persoonlijke gezondheidszorg)	8
913	nucleèinezuren	8
914	pyridine	8
915	fase-overgangen	8
916	oxidation	8
917	sedimentation	8
918	catalysis	8
919	climate	8
920	international (english)	8
921	plant pathogenic fungi	8
922	soil surveys	8
923	kaarten	8
924	work engagement	7
925	psoriasis	7
926	comorbidity	7
927	body composition	7
928	toxicity	7
929	recycling	7
930	fetal growth	7
931	electrophysiology	7
932	rejection	7
933	eye movements	7
934	cerebellum	7
935	plasticity	7
936	morbidity	7
937	computed tomography	7
938	dynamics	7
939	fertility	7
940	developing countries	7
941	pathophysiology	7
942	vervoer	7
943	acute myeloid leukemia	7
944	heritability	7
945	incentives	7
946	physiology	7
947	primary care	7
948	surveillance	7
949	training	7
950	injuries	7
951	cytokine	7
952	strategisch management	7
953	inequality	7
954	turkey	7
955	hospitals	7
956	menopause	7
957	cell biology	7
958	law	7
959	consumer behavior	7
960	interferon	7
961	injury	7
962	pancreatic cancer	7
963	finance	7
964	methylation	7
965	heart surgery	7
966	blood flow	7
967	quality management	7
968	transition	7
969	cartilage	7
970	corticosteroids	7
971	genetica	7
972	gene regulation	7
973	prenatal diagnosis	7
974	paediatrics	7
975	stable isotopes	7
976	pharmacogenetics	7
977	rotterdam study	7
978	dendritic cells	7
979	human rights	7
980	streptococcus pneumoniae	7
981	x-ray	7
982	monkey	7
983	neonates	7
984	respiratory failure	7
985	plasma	7
986	participation	7
987	gedragsstoornissen	7
988	vitamin d	7
989	metastases	7
990	anatomy	7
991	lage rugpijn	7
992	angiography	7
993	testis	7
994	homeostase	7
995	inhibition	7
996	disability	7
997	decentralization	7
998	sociaal-economische aspecten	7
999	hepatitis	7
1000	strategisch beleid (bedrijfskunde)	7
1001	progesterone	7
1002	arbeidsmarkt	7
1003	ondernemerschap	7
1004	interpretation	7
1005	zuid-afrika	7
1006	jongeren	7
1007	hla-antigeen	7
1008	heupgewricht	7
1009	fysiologie	7
1010	economic development	7
1011	animal model	7
1012	software	7
1013	melanomen	7
1014	metastasis	7
1015	life sciences	7
1016	ijzerverbindingen	7
1017	vloeibare kristallen	7
1018	supramoleculaire systemen	7
1019	mededingingsrecht	7
1020	zakenrecht	7
1021	structuur van vloeistoffen en vaste stoffen	7
1022	economische fluctuaties	7
1023	bestuursprocesrecht	7
1024	infraroodastronomie	7
1025	farmacokinetica	7
1026	stervorming	7
1027	corticosteroïden	7
1028	celwanden	7
1029	fytoplankton	7
1030	verspreiding	7
1031	psychologie van kind en kleuter	7
1032	seca protein	7
1033	europese unie	7
1034	motorische stoornissen	7
1035	conjugaten (chemie)	7
1036	methoden en technieken van de bedrijfs- en organisatiekunde	7
1037	nanokristallijne materialen	7
1038	organische synthesen	7
1039	magnetische eigenschappen, magnetische materialen	7
1040	genoom	7
1041	nierinsufficièentie	7
1042	grenslagen	7
1043	proteomica	7
1044	antidepressiva	7
1045	azobenzeen	7
1046	commentaren (vorm)	7
1047	financiering	7
1048	programmatuurtechniek	7
1049	cirrose	7
1050	bacteriën	7
1051	gedragstherapie	7
1052	overijssel	7
1053	tyrosine	7
1054	hemodynamica	7
1055	comorbiditeit	7
1056	drenthe	7
1057	farmaceutica	7
1058	mammalia	7
1059	kernstructuur	7
1060	cognitieve stoornissen	7
1061	broeden	7
1062	voedselecologie	7
1063	ecologie: overige	7
1064	1900-1910	7
1065	elektronentransport	7
1066	clusters (astronomie)	7
1067	verbintenissenrecht	7
1068	bloedstolling	7
1069	röntgendiffractie	7
1070	tandheelkundige $implantaten	7
1071	detectoren	7
1072	italië	7
1073	antipsychotische geneesmiddelen	7
1074	psychosen	7
1075	structuur-activiteit-relatie	7
1076	medische sociologie	7
1077	alkenen	7
1078	perfusie	7
1079	microstructuur	7
1080	kwantumveldentheorie	7
1081	jeugdpsychologie	7
1082	biomassa	7
1083	levensmiddelentechnologie	7
1084	33.71	7
1085	hartritme	7
1086	agentia	7
1087	voorspellingen	7
1088	isotopen	7
1089	gehandicaptenzorg	7
1090	botsingen	7
1091	energiestofwisseling	7
1092	organometaalcomplexen	7
1093	35.60	7
1094	1990-2000	7
1095	44.33	7
1096	neurobiologie	7
1097	microscopie	7
1098	atherosclerosis obliterans	7
1099	geestelijk gehandicapten	7
1100	milieueconomie	7
1101	septikemie	7
1102	mrp1	7
1103	nederland;	7
1104	boeren	7
1105	spain	7
1106	sediment transport	7
1107	plant diseases	7
1108	igg	6
1109	gwas	6
1110	firm performance	6
1111	survey	6
1112	information	6
1113	ige	6
1114	puberty	6
1115	strategic renewal	6
1116	hepatitis b	6
1117	knee	6
1118	knowledge	6
1119	internet	6
1120	acute lymphoblastic leukemia	6
1121	banking	6
1122	celiac disease	6
1123	percutaneous coronary intervention	6
1124	urodynamics	6
1125	cirrhosis	6
1126	political economy	6
1127	subjective well-being	6
1128	internationalization	6
1129	palliative care	6
1130	values	6
1131	wound healing	6
1132	sepsis	6
1133	prostate	6
1134	ras	6
1135	monetary policy	6
1136	immunosuppression	6
1137	anesthesia	6
1138	organizational change	6
1139	welfare	6
1140	serum	6
1141	fever	6
1142	lipids	6
1143	epigenetics	6
1144	bone	6
1145	extracellular matrix	6
1146	liver cancer	6
1147	inflammatory bowel disease	6
1148	water management	6
1149	public administration	6
1150	case studies	6
1151	glioma	6
1152	discourse	6
1153	managers	6
1154	health economics	6
1155	helicobacter pylori	6
1156	air pollution	6
1157	lung function	6
1158	computer simulation	6
1159	organizations	6
1160	leukocytes	6
1161	clinical genetics	6
1162	hermeneutics	6
1163	institutional theory	6
1164	unemployment	6
1165	corporate social responsibility	6
1166	skin diseases	6
1167	tumor markers	6
1168	t lymphocytes	6
1169	veiligheid	6
1170	japan	6
1171	pharmaceutical industry	6
1172	spina bifida	6
1173	biotechnology	6
1174	adaptation	6
1175	dynamic capabilities	6
1176	qualitative research	6
1177	statistics	6
1178	operations research	6
1179	follow-up	6
1180	scheduling	6
1181	cervical cancer	6
1182	mortality figures	6
1183	histopathology	6
1184	temperament	6
1185	pancreatitis	6
1186	restenosis	6
1187	collagen	6
1188	participatie	6
1189	kidney diseases	6
1190	cooperation	6
1191	menswetenschappen	6
1192	financial performance	6
1193	somatostatin receptors	6
1194	antigen	6
1195	autoimmune diseases	6
1196	general practitioners	6
1197	cell differentiation	6
1198	neonatology	6
1199	uveal melanoma	6
1200	vitamine d	6
1201	anesthesiology	6
1202	peptidoglycan	6
1203	geschiedenis	6
1204	peptides	6
1205	growth hormones	6
1206	hemodialysis	6
1207	ontwikkelingsstoornissen	6
1208	toxicology	6
1209	renal function	6
1210	mesothelioma	6
1211	epithelium	6
1212	mechanical ventilation	6
1213	vascular surgery	6
1214	fibrosis	6
1215	insulin	6
1216	herpes simplex virus	6
1217	galwegen	6
1218	ischemie	6
1219	immune response	6
1220	darmflora	6
1221	geneeskunde	6
1222	oxygen	6
1223	romeins recht	6
1224	functional outcome	6
1225	organisatieontwikkeling	6
1226	male	6
1227	quality assurance	6
1228	endocytosis	6
1229	ontwikkeling en structuur: algemeen	6
1230	platteland	6
1231	criminaliteit als sociaal probleem	6
1232	ontwikkelingslanden	6
1233	ghana	6
1234	tanzania	6
1235	protein	6
1236	randomized controlled trial	6
1237	social policy	6
1238	ziekte van alzheimer	6
1239	hypothalamus	6
1240	hypoxia	6
1241	in vitro	6
1242	autonomy	6
1243	muscle weakness	6
1244	electron microscopy	6
1245	eeg	6
1246	synthesis	6
1247	cytomegalovirus	6
1248	early detection	6
1249	mrsa	6
1250	questionnaire	6
1251	immunologie	6
1252	algorithms	6
1253	slowakije	6
1254	persoonlijkheid	6
1255	bolivia	6
1256	africa	6
1257	angiogenesis	6
1258	mexico	6
1259	identiteit	6
1260	leerkrachten	6
1261	bestuursrecht: algemeen	6
1262	chemische $structuur	6
1263	infraroodspectrometrie	6
1264	russische letterkunde	6
1265	productieplanning	6
1266	elliptische sterrenstelsels	6
1267	waterstof	6
1268	reumatoïde artritis	6
1269	vascularisatie	6
1270	statistische fysica	6
1271	beleggingsleer	6
1272	polylactiden	6
1273	angststoornissen	6
1274	eiwitvouwing	6
1275	verkeersregeling, verkeersveiligheid	6
1276	glutamaat	6
1277	42.15	6
1278	hydrogenering	6
1279	angst	6
1280	waarneming	6
1281	lactonen	6
1282	bioactivering	6
1283	weefseltechniek	6
1284	1600-1650	6
1285	productontwikkeling	6
1286	metabolic syndrome x	6
1287	44.89	6
