itemNumber	string	score
389	statistiek	30
390	strategieën voor levensonderhoud	30
391	emulsies	29
392	rentabiliteit	29
393	systeemanalyse	29
394	chemie	29
395	biodegradatie	29
396	cultuurmethoden	29
397	akkerbouw	29
398	immuniteitsreactie	29
399	landbouwontwikkeling	29
400	hormonen	29
401	rurale geschiedenis van nederland	29
402	dierfysiologie	29
403	classificatie	29
404	landbouw in afrika	29
405	fylogenie	29
406	celwanden	29
407	bodemkarteringen	29
408	gelderland	29
409	energie	29
410	diergezondheid	29
411	plant-microbe interacties	29
412	voedselhygiëne	28
413	oppervlakten	28
414	risico	28
415	immuunsysteem	28
416	bacteriologie	28
417	sociale verandering	28
418	cellen	28
419	phytophthora infestans	28
420	herbivoren	28
421	landbouwvoorlichting	28
422	moleculaire structuur	28
423	efficiëntie	28
424	instellingen	28
425	oogsttoename	28
426	verontreiniging	28
427	politiek	28
428	experimenten	28
429	dierhouderij	28
430	arabidopsis thaliana	28
431	ontwikkelingssociologie	28
432	middelen van bestaan	28
433	overerving	27
434	verouderen	27
435	modernisering	27
436	plantensuccessie	27
437	begrazing	27
438	stroming	27
439	samenstelling en kwaliteit van diervoeders	27
440	sensorische wetenschappen	27
441	migratie	27
442	dierlijke productiesystemen (algemeen)	27
443	dna-sequencing	27
444	conflict	26
445	darmmicro-organismen	26
446	dna	26
447	transcriptie	26
448	humane voeding (algemeen)	26
449	gemeenschappen	26
450	koolstof	26
451	kwantitatieve kenmerken	26
452	tylenchidae	26
453	plantenziekteverwekkers	26
454	tuinbouw	26
455	neerslag	26
456	grensvlak	26
457	vloeistofmechanica	26
458	chemische reacties	26
459	polymeerchemie	26
460	relaties	26
461	levensmiddelenchemie	26
462	voedselverwerking	26
463	genetische verbetering	26
464	diëten	25
465	afvalwater	25
466	watervoorziening	25
467	kinderen	25
468	snijbloemen	25
469	gewoonten	25
470	herstel	25
471	bodemeigenschappen	25
472	beoordeling	25
473	voedselconsumptie	25
474	leren	25
475	burkina faso	25
476	grondvermogen	25
477	heteroderidae	25
478	suikerbieten	25
479	milieubeheer	25
480	grenslaag	25
481	plantentaxonomie	25
482	rassen (planten)	25
483	economische situatie	25
484	kippen	25
485	sediment	25
486	landbouwgrond	25
487	polysacchariden	25
488	remote sensing en geografische informatiesystemen (algemeen)	25
489	bladeren	25
490	arabidopsis	25
491	humane pathologie	24
492	plattelandsplanning	24
493	gebruiksefficiëntie	24
494	sorptie	24
495	agro-ecologie	24
496	nucleïnezuren	24
497	vignabonen	24
498	droogte	24
499	vetzuren	24
500	ijzer	24
501	biologische landbouw	24
502	ruimtelijke variatie	24
503	geïntegreerde plagenbestrijding	24
504	lineair programmeren	24
505	voedselopname	24
506	pratylenchus	24
507	selectie	24
508	man-vrouwrelaties	24
509	blootstelling	24
510	chemische eigenschappen	24
511	plantenveredeling, selectiemethoden	24
512	bodembescherming	24
513	morfologie	24
514	deeltjes	24
515	onkruidbestrijding	23
516	signaaltransductie	23
517	voeropname	23
518	zetmeel	23
519	antilichamen	23
520	darmen	23
521	bosbeheer	23
522	chemische structuur	23
523	ruimtelijke ordening (algemeen)	23
524	voorlichting	23
525	kennis	23
526	cytologie	23
527	cytogenetica	23
528	parasitoïden	23
529	uitspoelen	23
530	fosfor	23
531	reservoirs	23
532	assimilatie	23
533	vectoren, ziekten	23
534	agrarische sociologie	23
535	degradatie	23
536	zware metalen	23
537	genetische bronnen van plantensoorten, genenbanken	23
538	eiwitexpressieanalyse	23
539	humane voeding en genetica	23
540	agro-industriële ketens	23
541	chemische analyse	23
542	gerst	22
543	oppervlaktechemie	22
544	zink	22
545	inheemse kennis	22
546	voedselketens	22
547	karper	22
548	voedselbewaring	22
549	kiemrust	22
550	embryologie	22
551	wortelknolletjes	22
552	wetlands	22
553	kwaliteit van levensmiddelen, voedselveiligheid	22
554	samenleving	22
555	fylogenetica	22
556	hydraulisch geleidingsvermogen	22
557	schatting	22
558	optimalisatie	22
559	landschapsarchitectuur (algemeen)	22
560	vruchten	22
561	economische productie	22
562	structuur	22
563	dierhouderij en omgeving	22
564	voedergrassen	22
565	analytische methoden	22
566	bosbeleid	22
567	plantensamenstelling	22
568	lepidoptera	22
569	plantengroeiregulatoren	22
570	soorten	22
571	sensorische evaluatie	22
572	armoede	22
573	fokwaarde	22
574	beheer van productieketens	22
575	voedselkwaliteit	21
576	tropische landbouw	21
577	landschapsecologie	21
578	etnografie	21
579	mortaliteit	21
580	teelt	21
581	organisch bodemmateriaal	21
582	warmte	21
583	milieubescherming	21
584	opslag	21
585	suriname	21
586	muizen	21
587	drainage	21
588	wilde verwanten	21
589	vissen	21
590	plantenziekteverwekkende bacteriën	21
591	analyse	21
592	voedselveiligheid	21
593	transcriptiefactoren	21
594	pathogenesis-gerelateerde eiwitten	21
595	ziektepreventie	21
596	melkzuurbacteriën	21
597	watergebruik	21
598	plassen	21
599	waterlopen	21
600	geostatistiek	21
601	kwel	21
602	gegevensverwerking	21
603	eigenschappen	21
604	oppervlaktewater	21
605	bedrijfseconomie	21
606	cultuur	21
607	hulpbronnenbehoud	21
608	droogteresistentie	21
609	melk	21
610	pectinen	21
611	afrika ten zuiden van de sahara	21
612	soortendiversiteit	21
613	genotype-milieu interactie	21
614	thailand	20
615	graansoorten	20
616	oxidoreductasen	20
617	risicofactoren	20
618	ecologische entomologie	20
619	landbouwbedrijven	20
620	microvermeerdering	20
621	costa rica	20
622	moleculaire biologie (algemeen)	20
623	genotypen	20
624	ontbossing	20
625	genoomanalyse	20
626	vruchtgroenten	20
627	tabak	20
628	kastechniek	20
629	passalora fulva	20
630	savannen	20
631	zaadproductie	20
632	rurale samenleving	20
633	lactatie	20
634	nucleotidenvolgordes	20
635	filippijnen	20
636	flora	20
637	infectieziekten	20
638	formatie	20
639	plantengroei	20
640	rizosfeer, mycorrhizae	20
641	mycorrhizae	20
642	onderwijs	20
643	straling	20
644	weefselkweek	20
645	stroomgebieden	20
646	fotoperiode	20
647	toepassingen	20
648	zoölogie	20
649	lipiden	20
650	ammoniak	20
651	fungiciden	20
652	algen	20
653	watervoorraden	20
654	voedselbesmetting	20
655	zuivelindustrie	20
656	geïntegreerde bestrijding, geïntegreerde plagenbestrijding	20
657	meteorologie	20
658	bodemvorming	20
659	ratten	20
660	inkomen	20
661	veredelingsprogramma's	20
662	waterbeleid	20
663	melkkoeien	20
664	controle	20
665	receptoren	20
666	vegetatieonderzoek	20
667	ecosysteemdiensten	20
668	veterinaire epidemiologie	20
669	nanotechnologie	20
670	transcriptomica	20
671	bosinventarisaties	19
672	voedselbiotechnologie	19
673	overstromingen	19
674	knobbelvorming	19
675	ouderdom	19
676	milieubeheer (algemeen)	19
677	nepal	19
678	statistische analyse	19
679	noord-brabant	19
680	malaria	19
681	zwangerschap	19
682	ruimtelijke verdeling	19
683	natuur	19
684	verandering	19
685	zonering	19
686	mineralen	19
687	hymenoptera	19
688	schaduw	19
689	smaak	19
690	bladgroenten	19
691	methaan	19
692	waterbescherming	19
693	elektrochemie	19
694	overleving	19
695	aardoppervlak	19
696	aves	19
697	karakterisering	19
698	biomassa productie	19
699	intensivering	19
700	genetische parameters	19
701	erosie	19
702	europese unie	19
703	wias	19
704	kwaliteitscontroles	18
705	economische planning	18
706	tussenteelt	18
707	concurrentie tussen planten	18
708	rioolwater	18
709	flavonoïden	18
710	meiose	18
711	neoplasma's	18
712	droge bonen	18
713	behandeling na de oogst	18
714	gelering	18
715	nitraten	18
716	fluorescentie	18
717	zuid-holland	18
718	onzekerheid	18
719	kleine herkauwers	18
720	beslissingsondersteunende systemen	18
721	algenteelt	18
722	carcinogenese, mutagenese, teratologie, reproductietoxiciteit	18
723	peru	18
724	ademhalingsziekten	18
725	kanalen	18
726	nadelige gevolgen	18
727	scheidingstechnologie	18
728	hydrolyse	18
729	weerstand	18
730	bedrijven	18
731	visbestanden en visserijbeheer	18
732	coleoptera	18
733	aminozuren	18
734	plantenvermeerdering	18
735	reologie	18
736	hart- en vaatstoornissen	18
737	gegevensanalyse	18
738	detectie	18
739	fenotypen	18
740	houding van boeren	18
741	samenwerking	18
742	metabolomica	18
743	dispersie	17
744	gels	17
745	machines	17
746	immobilisatie	17
747	rna	17
748	macromoleculaire stoffen	17
749	onkruiden	17
750	kernmagnetische resonantiespectroscopie	17
751	land	17
752	stikstofkringloop	17
753	voeding en voedering in de aquacultuur	17
754	pathogeniteit	17
755	spijsverteringskanaal	17
756	visserij	17
757	overgewicht	17
758	chromosomen	17
759	mechanische eigenschappen	17
760	oxidatie	17
761	populatie-ecologie	17
762	spanje	17
763	bodemfauna	17
764	chemicaliën	17
765	eutrofiëring	17
766	foerageren	17
767	mutagenese	17
768	verteerbaarheid	17
769	cellulose	17
770	sociale wetenschappen	17
771	obesitas	17
772	pachtstelsel	17
773	resistentie tegen pesticiden	17
774	grondwater	17
775	fysische eigenschappen	17
776	landschapsarchitectuur	17
777	infiltratie	17
778	gegevens verzamelen	17
779	melkproductie	17
780	vectorbestrijding	17
781	extractie	17
782	varkensvoeding	17
783	rurale sociologie	17
784	vee	17
785	ontwikkelingsstudies (algemeen)	17
786	verzadigdheid	17
787	natuurgebieden	16
788	chemische industrie	16
789	kunststoffen	16
790	stabiliteit	16
791	metabole processen	16
792	verontreinigende stoffen	16
793	landbouw in azië	16
794	appels	16
795	filosofie	16
796	zure regen	16
797	mali	16
798	grassen	16
799	transport	16
800	zoutgehalte	16
801	houding van consumenten	16
802	innovatie adoptie	16
803	andes	16
804	economische impact	16
805	levensstijl	16
806	landbouw (algemeen)	16
807	voedingsstoffenbeschikbaarheid	16
808	verspreiding	16
809	grondeigendom	16
810	grondmechanica	16
811	zeugen	16
812	diversiteit	16
813	verwerking	16
814	veldgewassen	16
815	zuid-afrika	16
816	in vivo experimenten	16
817	koffie	16
818	geologie	16
819	fosfaten	16
820	melkveebedrijven	16
821	moniliaceae	16
822	maatregel op voedingsgebied	16
823	computers	16
824	kieming	16
825	micellen	16
826	vloeistoffen (fluids)	16
827	vetten	16
828	zoetwaterecologie	16
829	vruchtbaarheid	16
830	etherische oliën	16
831	uitrusting	16
832	biologische behandeling	16
833	soortkruising	16
834	vleeskuikens	16
835	hulpbronnengebruik	16
836	bosbouw (algemeen)	16
837	zandgronden	16
838	voedselindustrie	16
839	plagenbestrijding	16
840	endocrinologie	16
841	agrarische bedrijfseconomie	16
842	cultivars	16
843	biologische ontwikkeling	16
844	dynamica	16
845	veehouderij	16
846	trofische graden	15
847	mechanisatie	15
848	graslandverbetering	15
849	variatie	15
850	karakteristieken	15
851	evapotranspiratie	15
852	mutanten	15
853	immunoglobulinen	15
854	stikstofmeststoffen	15
855	voedselvoorziening	15
856	warmtebehandeling	15
857	fotochemie	15
858	voedingsmiddelentoxicologie	15
859	landbouwkundige bacteriologie (algemeen)	15
860	regering	15
861	landgebruikssystemen	15
862	grondbewerking	15
863	interventie	15
864	verwijdering	15
865	voedselproducten	15
866	bodemtypen	15
867	anaërobe afbraak	15
868	groeimodellen	15
869	oogstschade	15
870	plant- en gewasbescherming (algemeen)	15
871	vaccinatie	15
872	rizosfeer	15
873	steden	15
874	bioaccumulatie	15
875	geomorfologie	15
876	handel	15
877	schade	15
878	ontogenie	15
879	celkweek	15
880	spectraalanalyse	15
881	bestuur	15
882	bebossing	15
883	plantenanatomie	15
884	bodemstructuur	15
885	fabaceae	15
886	voedselgewassen	15
887	agrarisch recht	15
888	slasoorten	15
889	fysische bewerking	15
890	hybriden	15
891	zwavel	15
892	indicatoren	15
893	plantenbiotechnologie	15
894	landbouwsector	15
895	geurstoffen	15
896	sojabonen	15
897	ontginning	15
898	vaccins	15
899	kenmerken	15
900	irrigatiesystemen	15
901	energiegebruik	15
902	voedselvoorkeuren	15
903	consumptie	15
904	probiotica	15
905	humane allergieën	15
906	mariene ecologie	15
907	diermodellen	15
908	regen	15
909	genregulatie	15
910	diergenetica	15
911	afwijkingen, planten	15
912	rurale geschiedenis van zuidoost-azië	15
913	gassen	14
914	regionale planning	14
915	verontreinigingsbeheersing	14
916	chlorofyl	14
917	kernmagnetische resonantie	14
918	koolsoorten	14
919	plant-water relaties	14
920	visvoeding	14
921	knollen	14
922	neurofysiologie	14
923	waterbodems	14
924	cassave	14
925	mineralisatie	14
926	celmembranen	14
927	kameroen	14
928	informatie	14
929	evaluatie	14
930	economische evaluatie	14
931	menselijke invloed	14
932	bolivia	14
933	ondernemerschap	14
934	vitaminen	14
935	verwantschap	14
936	drinkwater	14
937	bemesting	14
938	huisvesting, dieren	14
939	suikerbiet	14
940	verjonging	14
941	oömycota	14
942	escherichia coli	14
943	psychologie	14
944	gedrag bij zoeken van een gastheer	14
945	permeabiliteit	14
946	genetische regulatie	14
947	biologische technieken	14
948	gezinnen	14
949	fractionering	14
950	reflectie	14
951	zuurgraad	14
952	voedselsamenstelling	14
953	flora's van afrika	14
954	microklimaat	14
955	insecticiden	14
956	sociaal milieu	14
957	werk	14
958	geografie	14
959	mechanische bewerking	14
960	horizonten	14
961	eiwit	14
962	erwten	14
963	epidemieën	14
964	beta vulgaris	14
965	oliepalmen	14
966	rioolslib	14
967	ivoorkust	14
968	fysiologische entomologie	14
969	agrarische geschiedenis	14
970	antibiotica	14
971	embryonale ontwikkeling	14
972	dierhouderij (algemeen)	14
973	kustgebieden	14
974	sociaal gedrag	14
975	auxinen	14
976	voedersupplementen	14
977	introgressie	14
978	noord-holland	14
979	watergebruiksrendement	14
980	oorlog	14
981	ecuador	14
982	attitudes	14
983	zuidoost-azië	14
984	transcriptomics	14
985	mammalia	14
986	voedselbereiding	13
987	friesland	13
988	tropische bossen	13
989	somatische hybridisatie	13
990	anamorfe schimmels	13
991	evaporatie	13
992	vigna	13
993	voedselsupplementen	13
994	rijp worden	13
995	pakistan	13
996	ecologische landbouw	13
997	genetische transformatie	13
998	bodemdegradatie	13
999	kernpolyedervirussen	13
1000	reologische eigenschappen	13
1001	diffusie	13
1002	verzuring	13
1003	semi-aride klimaatzones	13
1004	biocenose	13
1005	geïntegreerde bestrijding	13
1006	polymerase-kettingreactie	13
1007	techniek (algemeen)	13
1008	wetenschap	13
1009	hemiptera	13
1010	nuttige insecten	13
1011	econometrische modellen	13
1012	ontwikkelingsprojecten	13
1013	agrarische economie	13
1014	biosystematiek	13
1015	bodembeheer	13
1016	kosten	13
1017	melkresultaten	13
1018	dierlijke meststoffen	13
1019	agrohydrologie	13
1020	familiebedrijven, landbouw	13
1021	textuur	13
1022	transmissie	13
1023	parasitisme	13
1024	vetweefsel	13
1025	natrium	13
1026	oliën	13
1027	drogen	13
1028	werkgelegenheid	13
1029	veluwe	13
1030	vraag	13
1031	biofysica	13
1032	ascomycota	13
1033	pisum sativum	13
1034	klimaatfactoren	13
1035	organisaties	13
1036	bemonsteren	13
1037	melkproducten	13
1038	inheemse volkeren	13
1039	solanaceae	13
1040	grondwaterverontreiniging	13
1041	dierziekten	13
1042	dierpathologie	13
1043	anaërobe omstandigheden	13
1044	oligosacchariden	13
1045	biofilms	13
1046	institutionele economie	13
1047	economische verandering	13
1048	genetische factoren	13
1049	hoger onderwijs	13
1050	stikstoffixatie	13
1051	malus	13
1052	waardplanten	13
1053	denitrificatie	13
1054	sahel	13
1055	bananen	13
1056	colloïdale eigenschappen	13
1057	microlepidoptera	13
1058	consumentenvoorkeuren	13
1059	pluimveevoeding	13
1060	dorpen	13
1061	gastheren (dieren, mensen, planten)	13
1062	dierfysiologie en -biochemie	13
1063	kleine bedrijven	13
1064	acquired immune deficiency syndrome	13
1065	fortificatie	13
1066	voeding en gezondheid	13
1067	azië	13
1068	stikstofbindende bacteriën	12
1069	retinol	12
1070	automatisering	12
1071	rna-virussen	12
1072	biologische bestrijding van ziekten	12
1073	sudan	12
1074	bangladesh	12
1075	gezondheidszorg	12
1076	landbouwkundig onderzoek	12
1077	lichaamsgewicht	12
1078	eiwitleverende gewassen	12
1079	ethiek	12
1080	landbouwplantenteelt	12
1081	reticulo-endotheliaal systeem	12
1082	polymorfisme	12
1083	bio-informatica	12
1084	geohydrologie, bodemhydrologie	12
1085	scheiding	12
1086	ondernemingen	12
1087	informatiesystemen	12
1088	laboratoriumdieren	12
1089	colombia	12
1090	investering	12
1091	cholesterol	12
1092	kassen	12
1093	gekweekte schaal- en schelpdieren	12
1094	variatie in de tijd	12
1095	enzymactiviteit	12
1096	landbouwsystemen	12
1097	economie (algemeen)	12
1098	vluchtige verbindingen	12
1099	omgevingspsychologie	12
1100	menselijk gedrag	12
1101	rassen (dieren)	12
1102	weiden	12
1103	oogsten	12
1104	kwantitatieve analyse	12
1105	voedingsstoffentekorten	12
1106	turbulentie	12
1107	hordeum vulgare	12
1108	preventie	12
1109	gevalsanalyse	12
1110	amazonia	12
1111	omgevingsfysiologie, stressfysiologie	12
1112	reuk	12
1113	iran	12
1114	ecohydrologie	12
1115	effecten	12
1116	stof	12
1117	microbiële ecologie	12
1118	oppervlaktespanningsverlagende stoffen	12
1119	luchtkwaliteit	12
1120	fauna	12
1121	carcinogenese	12
1122	agrarisch natuurbeheer	12
1123	verzilting	12
1124	fysiologie van de plantenvoeding	12
1125	synecologie	12
1126	uitvlokking	12
1127	sesquiterpenoïden	12
1128	historische geografie	12
1129	gebruiken	12
1130	plantenbiochemie, fytochemie	12
1131	pseudomonas	12
1132	biogeochemie	12
1133	voedselmicrobiologie	12
1134	hygiëne	12
1135	grondanalyse	12
1136	germplasm	12
1137	tropische regenbossen	12
1138	erosiebestrijding	12
1139	electrochemie	12
1140	organische stof	12
1141	bosteelt	12
1142	bloedstoornissen	12
1143	openbaar bestuur (algemeen)	12
1144	evolutie en fylogenie	12
1145	innovatiestudies (algemeen)	12
1146	prijzen	12
1147	voedselvoorzieningsbeleid	12
1148	fruitteelt	12
1149	opwarming van de aarde	12
1150	plattelandsvrouwen	12
1151	verhoudingen tussen bevolking en staat	12
1152	massaspectrometrie	12
1153	wei-eiwit	12
1154	warmtestress	12
1155	gemengde landbouw	12
1156	natuurreservaten	12
1157	lichaamssamenstelling	12
1158	zaaibedbereiding	12
1159	onderwijsmethoden	12
1160	visserijbeheer	12
1161	voorspelling	12
1162	wildbescherming en -beheer	12
1163	rundveevoeding	12
1164	melksamenstelling	12
1165	groeitempo	12
1166	kwaliteitszorg	12
1167	terugwinning	12
1168	biofysica (algemeen)	12
1169	gewaswetenschappen (algemeen)	12
1170	sociaal kapitaal	12
1171	landdegradatie	12
1172	duinen	12
1173	plant-herbivoor relaties	12
1174	broeikasgassen	12
1175	bioproceskunde	12
1176	biomarkers	12
1177	stedelijke planning	12
1178	duurzame ontwikkeling	12
1179	gewassen (algemeen)	12
1180	methaanproductie	12
1181	landbouw in zuid-amerika	12
1182	kroondak	11
1183	botrytis cinerea	11
1184	besmetting	11
1185	bioremediëring	11
1186	geur- en smaakstoffen	11
1187	epidemiologische onderzoeken	11
1188	somatische embryogenese	11
1189	pieris brassicae	11
1190	poaceae	11
