Ppn	Brinkey_gold	Identifier	Brinkey_uni
264428854	['aangeboren afwijkingen']	eur-oai-repub.eur.nl-51677	['epidemiologie']
269273212	['opvoedingsinrichtingen']	rug-oai-pure.rug.nl-publications_29cb48f4-1b1d-4020-860e-fd30d18f3ab4	[]
241474000	['differentiaalvergelijkingen']	uu-oai-dspace.library.uu.nl-1874_878	[]
381081559	['domotica']	rug-oai-pure.rug.nl-publications_4a91c00f-ee9a-4f73-87ca-6aa4a1fe2ee5	[]
249972999	['niertransplantatie']	ul-oai-openaccess.leidenuniv.nl-1887_561	['niertransplantatie']
395960797	['erfrecht']	ul-oai-openaccess.leidenuniv.nl-1887_35584	['erfrecht']
410533645	['rubber']	rug-oai-pure.rug.nl-publications_a641c07f-f4d8-4e4e-84d4-3a9de38c172e	[]
418972494	['spierziekten']	rug-oai-pure.rug.nl-publications_b991381b-0ec1-4895-8a4d-738e4b8add17	[]
270519165	['hyperthermie']	eur-oai-repub.eur.nl-76023	['radiologie', 'hyperthermie']
255971788	['celbiologie']	wur-oai-library.wur.nl-wurpubs_340972	[]
213649284	['aminozuren']	rug-oai-pure.rug.nl-publications_30121ea5-2e0c-44a8-92ee-f9d3c1c74bf0	['membranen']
297531271	['nieuwe testament']	ul-oai-openaccess.leidenuniv.nl-1887_4953	['nieuwe testament', 'humanisme']
315241829	['contemporaine filosofie (20e en 21e eeuw)']	rug-oai-pure.rug.nl-publications_0787453c-ca91-49f6-8492-6ca5b6dce682	[]
299374734	['openbare financiën']	rug-oai-pure.rug.nl-publications_11a57c84-cdcf-416e-ad25-07bb244a9e9b	[]
39775454X	['stofwisseling']	rug-oai-pure.rug.nl-publications_b0896a71-a4ae-491f-bae6-74a473782be2	[]
234587067	['syndroom van sjögren']	eur-oai-repub.eur.nl-23631	['immunologie']
270097678	['sportgeneeskunde']	rug-oai-pure.rug.nl-publications_b43a7439-dbc8-4cfd-af56-6218fdd60838	[]
374767440	['magnetische materialen']	rug-oai-pure.rug.nl-publications_018f37cb-bcdf-4970-9fa5-3897ac69162e	[]
369828127	['tandheelkundige materialen']	rug-oai-pure.rug.nl-publications_c576c320-dd2b-404b-8334-12d9a5ece4fc	['tandheelkunde']
34157905X	['maan']	uu-oai-dspace.library.uu.nl-1874_237788	[]
410560650	['psycholinguïstiek']	rug-oai-pure.rug.nl-publications_2b6673bc-12c1-45ef-9f3d-864380b77d5f	[]
391104845	['celbiologie']	rug-oai-pure.rug.nl-publications_bcf114e9-c047-4a02-a372-7201c6566714	[]
214223663	['computerlinguïstiek']	rug-oai-pure.rug.nl-publications_cc5034b4-2467-4e10-a7ad-cb4c6319e0e0	[]
297830392	['patroonherkenning']	tud-oai-tudelft.nl-uuid-2e0f0fa3-7093-4a74-8cb2-59489ab1df8b	[]
273458027	['patroonherkenning']	tud-oai-tudelft.nl-uuid-de60c1ea-b6de-4600-aa8a-885dedb145cb	[]
288663950	['ziekte van parkinson']	ul-oai-openaccess.leidenuniv.nl-1887_3756	['ziekte van parkinson']
243407343	['arbeidsongeschiktheid']	ul-oai-openaccess.leidenuniv.nl-1887_15472	[]
21660043X	['kwantummechanica']	wur-oai-library.wur.nl-wurpubs_122336	['kwantummechanica', 'organische chemie']
269255389	['maatschappelijk werk']	rug-oai-pure.rug.nl-publications_875f8479-22f3-4a58-b229-84129ba17c0c	['nederland']
298082322	['waterzuivering']	wur-oai-library.wur.nl-wurpubs_349570	['algen', 'vijvers']
390932132	['microbiologie']	rug-oai-pure.rug.nl-publications_e35d2f54-51c4-44aa-be6b-7f471d71b3d1	[]
416582737	['ziekte van parkinson']	rug-oai-pure.rug.nl-publications_414ada70-84b9-4a58-974e-b4f4cbbf3744	[]
411987798	['biochemie']	rug-oai-pure.rug.nl-publications_69400d7e-a8ba-4629-aa40-f079eea09798	[]
339428074	['neurologie']	eur-oai-repub.eur.nl-30811	[]
32324579X	['stromingsleer']	ul-oai-openaccess.leidenuniv.nl-1887_14482	[]
420690557	['astrochemie']	rug-oai-pure.rug.nl-publications_cf6543e0-ca4a-445b-82ed-12c71dd52476	[]
297088491	['verzekeringsrecht']	eur-oai-repub.eur.nl-8019	['verzekeringsrecht']
290781272	['operations research']	tud-oai-tudelft.nl-uuid-19688ab3-2dcf-4db8-8c3b-dae7ddf7121c	[]
297971905	['longziekten']	eur-oai-repub.eur.nl-8175	[]
294548491	['differentiaalvergelijkingen']	ul-oai-openaccess.leidenuniv.nl-1887_4392	['algoritmen']
240547403	['prionziekten']	eur-oai-repub.eur.nl-31968	['neurologie']
371264219	['elementaire-deeltjesfysica']	rug-oai-pure.rug.nl-publications_a1d202a7-b3ed-43c4-8d6a-6145cef8bab1	['radioastronomie']
407627413	['genomica']	rug-oai-pure.rug.nl-publications_facdf8b0-f8f0-4280-b4de-6052925f382c	[]
419732381	['copd']	rug-oai-pure.rug.nl-publications_c3fd4de0-c2e3-4115-82bd-b1d86db4a326	[]
326382879	['halfgeleiders']	tud-oai-tudelft.nl-uuid-0cdc0f86-70da-4fef-aa4f-6de8d671847b	[]
262685531	['materialenkennis']	rug-oai-pure.rug.nl-publications_20eb01db-5dfc-4590-864b-a4d6b121e0a6	['metalen']
400383233	['darmkanker']	rug-oai-pure.rug.nl-publications_fd0f5b94-647c-43eb-a043-e88b2f6aafb1	[]
264113896	['dyslexie']	rug-oai-pure.rug.nl-publications_f003a013-f85e-4764-9e70-7d28e8d57afe	['dyslexie', 'syntaxis', 'fonologie']
406761086	['onroerende zaken']	rug-oai-pure.rug.nl-publications_3f416d35-fe15-447f-8f07-2c671f0d994e	[]
274421305	['hepatitis']	eur-oai-repub.eur.nl-6753	[]
314372652	['immunologie']	eur-oai-repub.eur.nl-14316	['immunologie', 'infectieziekten']
236438581	['polymerisatie']	rug-oai-pure.rug.nl-publications_1460e286-a90c-4051-891d-0ed01a9b29d2	[]
416457746	['biometrie']	rug-oai-pure.rug.nl-publications_001e05d7-d567-4520-af10-d098b140a089	[]
26463277X	['kernfysica']	rug-oai-pure.rug.nl-publications_f9ca92bf-bf01-4b73-9381-304d566dc1eb	[]
249339269	['kwantumveldentheorie']	uu-oai-dspace.library.uu.nl-1874_697	[]
369624432	['roofdieren']	ul-oai-openaccess.leidenuniv.nl-1887_22747	[]
380610477	['melkwegstelsels']	rug-oai-pure.rug.nl-publications_a2d43517-2188-40cd-8af7-2caa1f410898	[]
26911307X	['artrose']	eur-oai-repub.eur.nl-7355	['reumatologie', 'orthopedie', 'artrose']
392187574	['hersentumoren']	rug-oai-pure.rug.nl-publications_5cafb3a1-0e0f-4c79-b004-38d3704ef674	[]
317863096	['hart- en vaatziekten']	rug-oai-pure.rug.nl-publications_35591de4-013f-4853-8e54-d13d71b95c03	['hart- en vaatziekten', 'cardiologie']
324398638	['cartesianisme']	uu-oai-dspace.library.uu.nl-1874_40159	[]
275852113	['bacteriologie']	ul-oai-openaccess.leidenuniv.nl-1887_2694	['genexpressie']
321323246	['antennes']	tud-oai-tudelft.nl-uuid-46e80996-1ff8-41fe-bd03-71c4d88ad629	[]
227849612	['vlinders']	wur-oai-library.wur.nl-wurpubs_120343	['nederland', 'ecologie', 'natuurbescherming']
317562673	['aderverkalking']	ul-oai-openaccess.leidenuniv.nl-1887_13727	['zwangerschap', 'hypercholesterolemie']
395527880	['urologie']	rug-oai-pure.rug.nl-publications_959034a2-98f6-4000-bb3c-69eb437ecb24	[]
370829190	['aanbestedingsrecht']	rug-oai-pure.rug.nl-publications_fdffd8c8-6b41-49a8-b8b8-1aed73af0d58	['europees recht', 'mededingingsrecht']
413547213	['supramoleculaire chemie']	rug-oai-pure.rug.nl-publications_b5be4717-076f-47e0-854c-938561349e33	[]
396186130	['kunstmatige intelligentie']	rug-oai-pure.rug.nl-publications_70d0f3ca-5811-4074-a872-3bd66eab370e	[]
250407558	['bouwkunst']	tud-oai-tudelft.nl-uuid-9bffd459-9d9e-4e59-a2bb-50ceb52aa067	[]
314025421	['copd']	rug-oai-pure.rug.nl-publications_0775293f-eae3-40e3-a131-e9adaf413e46	['cara']
401336727	['stadsplanologie']	rug-oai-pure.rug.nl-publications_54c56dc3-0a01-460b-8ab0-c2483e0b94f9	[]
406749248	['celbiologie']	rug-oai-pure.rug.nl-publications_eaa992ae-d78b-4a0a-bcd3-364831ff648a	[]
289198801	['katalyse']	tud-oai-tudelft.nl-uuid-95608804-9f38-46b6-8e8f-10050c655f48	[]
294561013	['data mining']	ul-oai-openaccess.leidenuniv.nl-1887_4395	['kunstmatige intelligentie', 'algoritmen']
38061099X	['computerlinguïstiek']	rug-oai-pure.rug.nl-publications_7c4e0ebf-76cf-4f64-aeec-7096aa919559	[]
397039913	['hartritme(stoornissen)']	rug-oai-pure.rug.nl-publications_294bbcb7-0191-411e-9c6e-4ec14b3a27e0	[]
403859212	['lupus erythematodes']	rug-oai-pure.rug.nl-publications_dd3e7e4b-a5c3-4e97-97fd-4a033afe94c3	[]
268884706	['geografische informatiesystemen']	tud-oai-tudelft.nl-uuid-217f096d-e52a-4c90-8f41-06de8b545a08	[]
229931391	['tomografie']	uu-oai-dspace.library.uu.nl-1874_403	[]
249140802	['demografie']	rug-oai-pure.rug.nl-publications_22826367-15ec-4cfb-9df7-1331b7776f4c	[]
291481329	['medische informatica']	eur-oai-repub.eur.nl-7579	[]
258155396	['cultuurparticipatie']	uu-oai-dspace.library.uu.nl-1874_828	['kunst']
230352871	['katalyse']	tud-oai-tudelft.nl-uuid-ff969262-a7d0-4e0d-b44f-d173a1f1dcaf	[]
35707341X	['baggerwerken']	tud-oai-tudelft.nl-uuid-e613a11d-65bd-4ce0-bbb9-6821cc455de3	[]
239253094	['kantoorgebouwen']	uu-oai-dspace.library.uu.nl-1874_550	['renovatie', 'kantoorgebouwen', 'amsterdam', 'rotterdam']
407634096	['fotosynthese']	rug-oai-pure.rug.nl-publications_7186d3aa-2a48-47ee-b62e-a29a7824e296	[]
338457631	['hartfalen']	rug-oai-pure.rug.nl-publications_deec8d3d-190c-4546-bd75-2cb52dc09b0e	['cardiologie']
334354900	['kankerbehandeling']	ul-oai-openaccess.leidenuniv.nl-1887_17746	[]
324478046	['reumatologie']	ul-oai-openaccess.leidenuniv.nl-1887_14734	[]
264395727	['organometaalchemie']	rug-oai-pure.rug.nl-publications_395984be-f0d4-45d4-af3e-c4355596bfd2	[]
411103679	['stofwisselingsziekten']	rug-oai-pure.rug.nl-publications_bdf1a3b6-6ed3-477b-b843-0835e1f26dae	[]
40674694X	['farmacologie']	rug-oai-pure.rug.nl-publications_9c87b948-1f22-4075-9964-4b7bf96f39b9	[]
296297577	['chinese taal- en letterkunde']	ul-oai-openaccess.leidenuniv.nl-1887_4394	[]
239007174	['psychofarmaca']	uu-oai-dspace.library.uu.nl-1874_428	[]
244583293	['betonconstructies']	tud-oai-tudelft.nl-uuid-c9c89827-59c5-4e52-9e0f-69800d20ce6a	[]
296939722	['darmkanker']	rug-oai-pure.rug.nl-publications_975ee121-bb07-4ca7-90a2-df73130f737a	['gastro-enterologie', 'celdood']
271391030	['hart- en vaatziekten']	uu-oai-dspace.library.uu.nl-1874_1079	[]
408819499	['meetkunde']	rug-oai-pure.rug.nl-publications_0ef530b1-709b-4285-b68d-016a67e6e928	[]
393634426	['geneeskunde']	rug-oai-pure.rug.nl-publications_d7d7de5d-34d8-4890-aa8b-3646d2a02a45	[]
215892879	['programmeertalen']	uu-oai-dspace.library.uu.nl-1874_859	['communicatie', 'doel']
22966489X	['glastuinbouw']	wur-oai-library.wur.nl-wurpubs_122315	['tuinbouw', 'glastuinbouw', 'watervoorziening']
402214366	['biotechnologie']	rug-oai-pure.rug.nl-publications_1e91c8d9-c109-4eff-bf9e-3b2fc96b897d	[]
241156637	['hartritme(stoornissen)']	eur-oai-repub.eur.nl-31433	['cardiologie']
27540126X	['atmosfeer']	wur-oai-library.wur.nl-wurpubs_339795	['atmosfeer']
273365762	['plantenhormonen']	ul-oai-openaccess.leidenuniv.nl-1887_626	[]
329232932	['multiple sclerose']	eur-oai-repub.eur.nl-20887	['multiple sclerose']
410498211	['katalyse']	rug-oai-pure.rug.nl-publications_0567e5c0-4564-4f00-a7f9-b0c21459b98e	[]
297210947	['urologie']	eur-oai-repub.eur.nl-8062	[]
376079932	['stamcellen']	rug-oai-pure.rug.nl-publications_43551e4a-b714-4cce-9b1a-aa7cac18263f	[]
338022600	['bloedziekten']	eur-oai-repub.eur.nl-26746	['nederland', 'hemofilie']
340508043	['middelbaar beroepsonderwijs']	rug-oai-pure.rug.nl-publications_ddafee8e-3b34-4dca-95f7-59b1a40f6ff9	['voortgezet onderwijs']
334479819	['notariaat']	rug-oai-pure.rug.nl-publications_a3fe31b1-2b08-4284-bc22-09bcf007511f	[]
240934768	['foraminiferen']	uu-oai-dspace.library.uu.nl-1874_268371	[]
387624716	['psychofysiologie']	rug-oai-pure.rug.nl-publications_43cb19a1-1459-4f15-a83b-b1faf6f5347a	[]
314636579	['gastro-enterologie']	rug-oai-pure.rug.nl-publications_4176c4fb-dc43-40ef-acbf-aab53807fef5	['gastro-enterologie']
298828065	['polymerisatie']	wur-oai-library.wur.nl-wurpubs_351454	['fysische chemie', 'polymerisatie', 'polymeren', 'supramoleculaire chemie']
298828057	['kristalchemie']	wur-oai-library.wur.nl-wurpubs_351453	['organische chemie']
264425502	['migraine']	eur-oai-repub.eur.nl-7457	['migraine', 'neurologie']
413534936	['neurofysiologie']	rug-oai-pure.rug.nl-publications_51bf52a7-6d58-4e9f-a265-e5eb4e0f3ef5	[]
227739043	['waterbeheer']	wur-oai-library.wur.nl-wurpubs_122058	['waterschappen', 'communicatie', 'waterbeheer', 'publieke opinie', 'watervoorziening', 'nederland']
291396909	['filosofische ethiek']	eur-oai-repub.eur.nl-7563	[]
408054263	['escherichia coli']	rug-oai-pure.rug.nl-publications_cbe3f462-82d5-4216-9f4b-2fe364456fd6	[]
364453419	['bestuurdersaansprakelijkheid']	ul-oai-openaccess.leidenuniv.nl-1887_23058	[]
214202569	['colloïdchemie']	uu-oai-dspace.library.uu.nl-1874_741	[]
391159712	['vermogensrecht']	ul-oai-openaccess.leidenuniv.nl-1887_32123	[]
239288238	['proteïnen']	rug-oai-pure.rug.nl-publications_ea0fc56f-a39a-4d38-8651-22b10fbd5f08	[]
380671735	['kankerbehandeling']	rug-oai-pure.rug.nl-publications_fd6735f7-d381-4807-9458-82d7cafb06eb	[]
228155703	['patroonherkenning']	tud-oai-tudelft.nl-uuid-7a814e01-21ab-4053-a4fe-56d19d57c528	[]
312840810	['schizofrenie']	eur-oai-repub.eur.nl-12620	['schizofrenie']
329086464	['religieuze bouwkunst']	ul-oai-openaccess.leidenuniv.nl-1887_15971	['soefisme', 'kosmologie']
395523206	['kindergeneeskunde']	rug-oai-pure.rug.nl-publications_54948566-8974-43ed-87e8-78434fa57ab5	[]
30322102X	['immunologie']	eur-oai-repub.eur.nl-10209	['immunologie']
279737904	['spoorwegen']	tud-oai-tudelft.nl-uuid-b30d21bb-c123-4d8c-b02f-cf6c1cb6dae8	[]
270186093	['spoorwegen']	tud-oai-tudelft.nl-uuid-b30d21bb-c123-4d8c-b02f-cf6c1cb6dae8	[]
400652102	['leidinggeven']	rug-oai-pure.rug.nl-publications_6234837d-ee50-4fc1-ab88-53228239585b	[]
303999756	['lepra']	eur-oai-repub.eur.nl-10513	[]
413924475	['verkeer']	tud-oai-tudelft.nl-uuid-dd6d52a5-b091-44c1-ba45-f96c8c3c3590	[]
287931994	['elektrocardiografie']	eur-oai-repub.eur.nl-7039	[]
252089944	['stromingsleer']	tud-oai-tudelft.nl-uuid-00a2a9f9-8530-42d9-80bd-9e0c09571907	[]
296366358	['hartritme(stoornissen)']	ul-oai-openaccess.leidenuniv.nl-1887_4426	[]
411290363	['farmacie']	rug-oai-pure.rug.nl-publications_b613c465-1170-41ff-a83d-d890c9a535a9	[]
293104298	['auditing']	rug-oai-pure.rug.nl-publications_fe8def59-6c01-4b6f-9e40-7b07669f24ff	['nederland']
323551300	['leukemie']	eur-oai-repub.eur.nl-17773	[]
297568531	['hartchirurgie']	ul-oai-openaccess.leidenuniv.nl-1887_4978	[]
242145221	['kunstmatige inseminatie (mens)']	eur-oai-repub.eur.nl-51163	['gynaecologie', 'verloskunde']
41122820X	['anesthesiologie']	rug-oai-pure.rug.nl-publications_a0fdd6d6-796d-41ec-b70f-e783d483879d	[]
238834425	['neurobiologie']	rug-oai-pure.rug.nl-publications_28923d8b-c19a-4b16-a0ec-8c1a3d48dc4d	['zenuwstelsel', 'ontwikkelingsbiologie']
343558831	['arbeidsrecht']	rug-oai-pure.rug.nl-publications_66bbf5c2-8ea5-4e62-a44d-2773901c303a	['werkgevers', 'nederland', 'arbeidsrecht']
244642338	['organische chemie']	rug-oai-pure.rug.nl-publications_c84e1477-95dc-4290-8026-bb00c8a34394	[]
41354768X	['supramoleculaire chemie']	rug-oai-pure.rug.nl-publications_70d90353-b985-4883-8289-3e2a9fe81b28	[]
240966090	['kinesiologie']	rug-oai-pure.rug.nl-publications_c4ddc6af-46c3-4c78-9022-09b7052b70cb	[]
420684220	['membranen']	rug-oai-pure.rug.nl-publications_510e1f23-deea-4c2b-907a-82d27d4febd2	[]
419771751	['allergie']	rug-oai-pure.rug.nl-publications_03d090a7-ea2f-4c56-9c13-943130b47058	[]
25369549X	['materialenkennis']	rug-oai-pure.rug.nl-publications_25c37bb5-ecc5-4ad0-808e-4ce46989d094	[]
393813258	['management ; gezondheidszorg']	rug-oai-pure.rug.nl-publications_cc378c3d-e602-411b-9995-50db6245a06b	[]
371089654	['kosmologie']	rug-oai-pure.rug.nl-publications_af733c84-ab5f-43e4-be3a-42da2fd43682	['kosmologie']
397995512	['computerarchitectuur']	rug-oai-pure.rug.nl-publications_29d4f043-5066-49dd-a500-ce4842c12e2b	[]
297346954	['melkwegstelsels']	ul-oai-openaccess.leidenuniv.nl-1887_4580	[]
304914746	['organische technische oliën']	rug-oai-pure.rug.nl-publications_7a85a8fb-bd93-4736-a7f2-eea6226aee3e	[]
297845934	['patroonherkenning']	tud-oai-tudelft.nl-uuid-66da5bdb-aa60-49e0-b2fe-c35aa0585d3f	[]
290674727	['schimmels']	ul-oai-openaccess.leidenuniv.nl-1887_3400	[]
229576699	['farmacologie']	rug-oai-pure.rug.nl-publications_ff78151e-d5c5-4411-9818-880913598c70	['geneesmiddelen', 'hart- en vaatziekten']
29423067X	['baarmoederhalskanker']	eur-oai-repub.eur.nl-76025	['baarmoederhalskanker', 'gynaecologie', 'verloskunde']
403872995	['moleculaire biologie']	rug-oai-pure.rug.nl-publications_101ef3e3-b1f3-4cd3-bbdc-35c8a19c87cc	[]
33372075X	['fotosynthese']	wur-oai-library.wur.nl-wurpubs_405732	['fotosynthese', 'glastuinbouw']
241167078	['nier(ziekten)']	rug-oai-pure.rug.nl-publications_3c0e5403-4346-4148-a8fd-56f2447b464f	[]
27683142X	['anesthesiologie']	rug-oai-pure.rug.nl-publications_ee74b613-b482-4966-a3bc-38590a033b35	['reumatologie', 'orthopedie', 'algoritmen']
297806181	['hart- en vaatziekten']	eur-oai-repub.eur.nl-8149	[]
239083067	['kristalchemie']	tud-oai-tudelft.nl-uuid-812c5c61-80f2-4ffe-b39f-320a98460109	[]
419755179	['organische chemie']	rug-oai-pure.rug.nl-publications_ec78173d-29d9-4456-ab2a-f4a45f792610	[]
307979725	['cardiologie']	rug-oai-pure.rug.nl-publications_10abeb3e-efc4-44cf-b750-9e9939addda4	['cardiologie']
288859863	['barrett-oesofagus']	eur-oai-repub.eur.nl-7127	[]
263277275	['cardiologie']	eur-oai-repub.eur.nl-51234	[]
417808127	['intensive care']	rug-oai-pure.rug.nl-publications_ffa7ce45-c02a-48ca-bb59-9372c6d5b85c	[]
270776923	['verkoudheid']	eur-oai-repub.eur.nl-6733	[]
375364595	['hartritme(stoornissen)']	rug-oai-pure.rug.nl-publications_79883560-e6b5-4af8-9040-68239717995c	[]
410255017	['endocrinologie']	eur-oai-repub.eur.nl-98428	[]
240702018	['bacteriologie']	rug-oai-pure.rug.nl-publications_4572cdc0-d130-48de-8093-d9fc84e277d7	['fysiologie']
292373805	['vermogensrecht']	rug-oai-pure.rug.nl-publications_69c10bf8-c99e-4961-825e-d12c0c7fb1ff	[]
244930236	['differentiaalvergelijkingen']	tud-oai-tudelft.nl-uuid-806f0723-2e36-401d-93f6-12daecd467d3	[]
229409989	['hyperthermie']	uu-oai-dspace.library.uu.nl-1874_400	[]
392619296	['embryologie']	rug-oai-pure.rug.nl-publications_2838b70b-14c2-4e75-b514-d889f99d8d04	[]
250190834	['virtual reality']	tud-oai-tudelft.nl-uuid-f2ae49ae-d01b-4374-b406-b4c1810ea364	[]
239375378	['magnetische materialen']	tud-oai-tudelft.nl-uuid-57e63626-e60a-46fb-8fc4-eae73e4aa372	[]
407631402	['astrofysica']	rug-oai-pure.rug.nl-publications_50d17293-a9a2-4955-8f41-00173c10c379	[]
34476768X	['overgewicht']	rug-oai-pure.rug.nl-publications_584c2477-8e56-41b5-9e53-8e79376ad757	['stofwisseling']
234587229	['cardiologie']	eur-oai-repub.eur.nl-23634	['cardiologie']
273791494	['koeltechniek']	tud-oai-tudelft.nl-uuid-143c8109-208e-49a5-87c3-b7618e5eebf2	[]
329353268	['grondrechten']	ul-oai-openaccess.leidenuniv.nl-1887_16040	['grondrechten']
277351227	['echocardiografie']	eur-oai-repub.eur.nl-6894	[]
230300715	['astma']	uu-oai-dspace.library.uu.nl-1874_332	['astma']
408044276	['nierdialyse']	rug-oai-pure.rug.nl-publications_861fb30b-8e25-4c50-9e30-9e53f9cad653	[]
400850729	['diabetes']	rug-oai-pure.rug.nl-publications_b9ecedd5-e2e5-46e1-bc75-f46ea8edc380	[]
231039506	['productontwikkeling']	rug-oai-pure.rug.nl-publications_07805ffd-0242-4eea-864d-c8297c9c8a6a	[]
269470778	['bestuursprocesrecht']	rug-oai-pure.rug.nl-publications_5faf23e4-7655-48ac-9766-bc947d77856a	[]
314122230	['celbiologie']	rug-oai-pure.rug.nl-publications_3c09412d-2d08-4d60-b274-6ae10fdb1023	[]
230279112	['nanotechnologie']	tud-oai-tudelft.nl-uuid-2695d52f-d093-44bd-9415-6f9604faab88	['nanotechnologie']
241997941	['malaria']	wur-oai-library.wur.nl-wurpubs_123645	['reuk', 'malaria']
410533866	['kanker']	rug-oai-pure.rug.nl-publications_0bd0a524-ac90-4830-8d48-066a086fa11b	[]
322688701	['hydrodynamica']	tud-oai-tudelft.nl-uuid-3226cd75-49b6-4f34-9bed-551364246a1f	[]
240858158	['luchtverontreiniging']	uu-oai-dspace.library.uu.nl-1874_678	['atmosfeer']
364453427	['vennootschappen']	eur-oai-repub.eur.nl-78641	['ondernemingsbestuur']
315013648	['tuberculose']	ul-oai-openaccess.leidenuniv.nl-1887_12469	['tuberculose']
226634000	['urologie']	eur-oai-repub.eur.nl-14799	['urologie']
293531919	['tandheelkunde']	rug-oai-pure.rug.nl-publications_82ff7ae2-9c61-4b86-9a53-e4e6b497b4eb	['tandheelkunde']
407636285	['mathematische natuurkunde']	rug-oai-pure.rug.nl-publications_f331d268-b2e5-4d1f-bf96-83ce1c2e841c	[]
416447023	['verpleegkundigen']	rug-oai-pure.rug.nl-publications_d0a9c40e-9a2f-4df8-a6fa-a110bae1411f	[]
274796090	['amyotrofische lateraal sclerose']	eur-oai-repub.eur.nl-6755	[]
258340150	['kennissystemen']	uu-oai-dspace.library.uu.nl-1874_890	[]
236564633	['differentiaalvergelijkingen']	uu-oai-dspace.library.uu.nl-1874_865	[]
375413847	['geneesmiddelen ; bijwerkingen']	ul-oai-openaccess.leidenuniv.nl-1887_25551	[]
291569323	['hart- en vaatziekten']	eur-oai-repub.eur.nl-7553	[]
283608528	['medische informatica']	eur-oai-repub.eur.nl-6955	[]
410916536	['ondernemingsrecht']	rug-oai-pure.rug.nl-publications_79519fb5-9e15-4653-babf-ffcb368cd259	[]
275855147	['perceptie']	eur-oai-repub.eur.nl-76094	[]
227456734	['dna']	eur-oai-repub.eur.nl-23511	[]
270197869	['regenwouden']	wur-oai-library.wur.nl-wurpubs_337161	['regenwouden', 'paleontologie', 'afrika', 'ijstijden', 'gabon', 'plantengeografie']
408193565	['stofwisseling']	rug-oai-pure.rug.nl-publications_173d72b2-3356-47b4-b53b-9e16dc15e5e1	[]
269610227	['europees recht']	eur-oai-repub.eur.nl-8219	['europese integratie']
329339273	['sociale ethiek']	rug-oai-pure.rug.nl-publications_fd5c062d-e6cb-45b2-a0fd-70ae31255b73	[]
322841895	['klimatologie']	wur-oai-library.wur.nl-wurpubs_384867	['waterbouwkunde', 'weersvoorspelling', 'neerslag', 'overstromingen', 'klimatologie', 'nederland']
297908057	['eierstokkanker']	eur-oai-repub.eur.nl-8161	['eierstokkanker']
302255109	['plantenfysiologie']	ul-oai-openaccess.leidenuniv.nl-1887_11864	[]
234586788	['syndroom van guillain-barré']	eur-oai-repub.eur.nl-23633	['neurologie', 'epidemiologie']
419731172	['polymerisatie']	rug-oai-pure.rug.nl-publications_27937668-978b-45c9-8987-258389829a37	[]
411289926	['nier(ziekten)']	rug-oai-pure.rug.nl-publications_d8d9e77c-d083-4ded-af15-9092130ace6f	[]
250186675	['gebarentaal']	uu-oai-dspace.library.uu.nl-1874_626	['gebarentaal']
41821297X	['elektronen']	rug-oai-pure.rug.nl-publications_97216add-a533-4455-a14c-be17909ee0b5	[]
242582656	['kerkvaders']	rug-oai-pure.rug.nl-publications_2f669e3c-50fe-4d5f-a909-fd0cc9f48ed2	[]
